,k,Q_D,P_D,E_TES,Q_in_TES,Q_out_TES,delta_in_TES,delta_out_TES,Q_in_B1,Q_in_B2,Q_out_B1,Q_out_B2,delta_B1,delta_B2,Q_in_CHP1,Q_in_CHP2,Q_out_CHP1,Q_out_CHP2,P_out_CHP1,P_out_CHP2,delta_CHP1,delta_CHP2,P_grid
100,101,362.279945,396.6608949,974.4439835593879,107.72005500000012,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,-0.0,16.5365526703946
101,102,346.6005395,396.6608949,605.6518391613386,0.0,346.6005395000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,396.6608949
102,103,353.569165,396.6608949,712.9643683249442,116.4308349999994,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
103,104,352.4361953,396.6608949,820.8153089074953,117.56380470000029,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.130977130977,0.0,470.0,0.0,380.12434222960536,0.0,1.0,-0.0,16.536552670394656
104,105,348.135434,396.6608949,451.1777447722864,0.0,348.13543400000026,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,396.6608949
105,106,312.5361524,396.6608949,598.1447874804454,157.46384760000126,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
106,107,300.9302561,396.6608949,279.1834407807425,0.0,300.9302561000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,396.6608949
107,108,267.7250826,396.6608949,469.472575833675,202.27491740000178,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
108,109,253.5148143,396.6608949,672.2787015426497,216.48518570000172,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
109,110,249.9992176,396.6608949,877.4048087011633,220.0007823999991,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
110,111,287.3005279,396.6608949,571.3619211498307,0.0,287.30052790000013,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,396.6608949
111,112,308.5140356,396.6608949,721.5410171111915,161.48596439999974,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,16.5365526703946
112,113,328.5745047,396.6608949,851.9612103688685,141.42549530000005,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,16.5365526703946
113,114,332.0588187,396.6608949,499.0488218904777,0.0,332.0588187000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,396.6608949
114,115,339.4851783,396.6608949,620.239429396933,130.5148217000011,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,-0.0,16.5365526703946
115,116,350.6940407,396.6608949,730.2037536819898,119.30595930000122,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
116,117,354.1783523,396.6608949,836.3177940568177,115.82164770000006,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,-0.0,16.5365526703946
117,118,382.0528543,396.6608949,915.4879032907899,87.94714570000005,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
118,119,400.6073867,396.6608949,976.6803378387804,69.3926133,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.130977130977,0.0,470.0,0.0,380.12434222960536,0.0,1.0,-0.0,16.536552670394656
119,120,414.5446376,396.6608949,536.5354389439296,0.0,414.5446376,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,396.6608949
120,121,404.0916982,396.6608949,596.3160723328051,65.90830180000134,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,-0.0,16.5365526703946
121,122,423.2554178,396.6608949,637.6384530211639,46.74458220000152,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,-0.0,16.5365526703946
122,123,444.1612943,396.6608949,658.9437236086274,25.838705699999878,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309768,0.0,470.0,0.0,380.12434222960525,-0.0,1.0,16.53655267039477
123,124,426.7397318,396.6608949,696.6519107540303,43.260268199999985,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,-0.0,16.5365526703946
124,125,412.8024807,396.6608949,747.3793702044724,57.19751930000163,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
125,126,430.2240433,396.6608949,781.3446482623401,39.77595670000031,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,-0.0,16.5365526703946
126,127,451.1299199,396.6608949,795.329509827001,18.870080100000052,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,16.5365526703946
127,128,446.512641,396.6608949,813.62008877515,23.487359000011793,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
128,129,436.8855768,396.6608949,350.8303722411348,0.0,436.8855768000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,396.6608949
129,130,401.3612252,396.6608949,414.1246887854639,68.63877480000019,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
130,131,326.6620243,396.6608949,547.8904491770078,143.33797570000166,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
131,132,340.0834718,396.6608949,668.2704978078818,129.91652820000004,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,16.5365526703946
132,133,311.7575129,396.6608949,814.892647227609,158.2424871,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
133,134,311.4263396,396.6608949,961.0973450339615,158.57366039999997,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
134,135,323.8435229,396.6608949,616.2667343901024,0.0,323.84352290000015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,396.6608949
135,136,356.797806,396.6608949,720.4667678511867,113.20219400000013,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,16.5365526703946
136,137,359.9333208,396.6608949,821.1757968689976,110.06667920000132,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,16.5365526703946
137,138,361.6754753,396.6608949,919.7316214636184,108.3245247000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,-0.0,16.5365526703946
138,139,355.1645864,396.6608949,542.2200693502359,0.0,355.1645863999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,396.6608949
139,140,366.3734463,396.6608949,637.715258098387,103.62655370000016,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,0.0,16.5365526703946
140,141,364.6312917,396.6608949,734.3850787459021,105.36870830000177,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
141,142,352.4361953,396.6608949,842.1291830895229,117.56380470000158,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
142,143,357.0534765,396.6608949,944.9604421198004,112.94652350000146,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,0.0,16.5365526703946
143,144,350.084851,396.6608949,572.6568051601713,0.0,350.0848510000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,396.6608949
144,145,339.6319139,396.6608949,693.3412404154309,130.36808610000077,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
145,146,339.6319139,396.6608949,813.4237595387349,130.36808610000014,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,16.5365526703946
146,147,336.1475999,396.6608949,456.4103392273637,0.0,336.14759990000016,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,396.6608949
147,148,308.2730979,396.6608949,607.3910781358813,161.72690210000093,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,16.5365526703946
148,149,315.2417234,396.6608949,751.0151261784524,154.75827660000076,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,16.5365526703946
149,150,316.9838804,396.6608949,892.2719278784296,153.01611960000048,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
150,151,310.0152548,396.6608949,562.3043275142675,0.0,310.0152548000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,396.6608949
151,152,323.6147762,587.1223702,219.7028903801231,0.0,323.6147762000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,587.1223702
152,153,421.0917485,781.293796,710.3396009174911,518.9082515000005,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,977.1309771309772,470.0,470.0,380.1243422296054,380.1243422296054,1.0,1.0,21.045111540789208
153,154,388.4932398,781.293796,298.87716379770427,0.0,388.4932398000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,781.293796
154,155,366.8639963,791.3176496,840.5067790609959,573.136003700001,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,977.1309771309772,470.0,470.0,380.1243422296054,380.1243422296054,1.0,1.0,31.068965140789146
155,156,363.3020447,791.3176496,454.8459956365148,0.0,363.3020447000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,791.3176496
156,157,371.3088048,791.3176496,62.70157021541371,0.0,371.3088048,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,791.3176496
157,158,362.1603162,791.3176496,609.966459616124,577.8396838000011,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,977.1309771309772,470.0,470.0,380.1243422296054,380.1243422296054,1.0,1.0,31.068965140789146
158,159,368.678828,791.3176496,219.8098548138654,0.0,368.6788280000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,791.3176496
159,160,378.2613376,779.3760622,751.0333693183417,561.7386624000017,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,977.1309771309772,470.0,470.0,380.1243422296054,380.1243422296054,1.0,1.0,19.127377740789143
160,161,379.3416029,779.3760622,348.97723001556267,0.0,379.3416029,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,779.3760622
161,162,374.7201866,779.3760622,882.9122167645218,565.2798134000016,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,977.1309771309772,470.0,470.0,380.1243422296054,380.1243422296054,1.0,1.0,19.127377740789143
162,163,385.7629064,714.0545666,473.45593216261733,0.0,385.7629064,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,714.0545666
163,164,269.3108426,585.2046364,661.2734170333651,200.68915740000182,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,-0.0,205.0802941703946
164,165,273.1409495,585.2046364,844.5246380973144,196.85905049999127,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,-0.0,205.0802941703946
165,166,278.8861098,585.2046364,547.4809169452739,0.0,278.8861098,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,585.2046364
166,167,270.9037174,396.6608949,733.4197463845519,199.0962826000019,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
167,168,269.3167901,396.6608949,919.9350202995151,200.6832098999999,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
