,k,Q_D,P_D,E_TES,Q_in_TES,Q_out_TES,delta_in_TES,delta_out_TES,Q_in_B1,Q_in_B2,Q_out_B1,Q_out_B2,delta_B1,delta_B2,Q_in_CHP1,Q_in_CHP2,Q_out_CHP1,Q_out_CHP2,P_out_CHP1,P_out_CHP2,delta_CHP1,delta_CHP2,P_grid
26,27,355.3113195,396.6608949,711.1180692129857,114.68868050000117,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
27,28,357.0534765,396.6608949,814.6027488997123,112.94652350000013,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,-0.0,16.5365526703946
28,29,362.279945,396.6608949,912.6185437186821,107.72005500000162,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
29,30,364.022102,396.6608949,1000.0,97.01387861603989,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,956.5226759589516,0.0,461.03598061603986,0.0,370.5350729043447,-0.0,1.0,26.125821995655315
30,31,364.022102,396.6608949,612.7876774982591,0.0,364.02210200000013,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,396.6608949
31,32,398.210111,587.1223702,191.60902530168266,0.0,398.2101110000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,587.1223702
32,33,525.2319391,781.293796,583.6995947515375,414.768060900001,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,977.1309771309772,470.0,470.0,380.1243422296054,380.1243422296054,1.0,1.0,21.045111540789208
33,34,518.7740505,781.293796,979.9542865430365,421.2259495000007,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,977.1309771309772,470.0,470.0,380.1243422296054,380.1243422296054,1.0,1.0,21.045111540789208
34,35,513.0255398,791.3176496,436.3876800564965,0.0,513.0255398000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,791.3176496
35,36,505.2914575,791.3176496,846.1535885812829,434.70854250000014,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,977.1309771309772,470.0,470.0,380.1243422296054,380.1243422296054,1.0,1.0,31.068965140789146
36,37,489.3713909,791.3176496,328.0912758215744,0.0,489.3713909000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,791.3176496
37,38,482.3716511,791.3176496,760.1167870665813,457.6283489000012,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,977.1309771309772,470.0,470.0,380.1243422296054,380.1243422296054,1.0,1.0,31.068965140789146
38,39,493.9611443,791.3176496,237.66432346926797,0.0,493.9611443000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,791.3176496
39,40,505.3895853,779.3760622,648.3283801255213,434.61041470000055,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,977.1309771309772,470.0,470.0,380.1243422296054,380.1243422296054,1.0,1.0,19.127377740789143
40,41,516.1118787,779.3760622,596.6771542121439,0.0,46.11187869999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,399.25171997039456
41,42,528.6186163,779.3760622,983.5381245701682,411.38138370000087,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,977.1309771309772,470.0,470.0,380.1243422296054,380.1243422296054,1.0,1.0,19.127377740789143
