model,r2_compared_to_actual_milp_opex,delta_to_milp_pred
MILP_pred,0.9877533543919613,0.0
LP_Upper,0.9821487714788664,-0.005604582913094958
LP_Lower,0.9874245317116351,-0.00032882268032619066
LP_Approx,0.9882750974074851,0.0005217430155237679
