model,r2_relative_to_MILP,delta_to_milp
MILP_pred,0.9839016040286899,0.0
LP_Upper,0.9815814464401449,-0.00232015758854498
LP_Lower,0.9824095841282391,-0.0014920199004507806
LP_Approx,0.9832306668454444,-0.0006709371832455124
