price_factor,k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
0.0555555555555555,0,320.468192,396.6608949,1000.0,1000.0,897.7500000000001,89.47952923953233,0.0,0.0,0.0,0.0,0.0,849.514869704262,0.0,422.71819199999993,0.0,307.1813656604677
0.0555555555555555,1,339.6319139,396.6608949,1000.0,1000.0,897.7500000000001,75.5536126932688,0.0,0.0,0.0,0.0,0.0,888.0272096532536,0.0,441.88191389999986,0.0,321.1072822067312
0.0555555555555555,2,355.3113195,396.6608949,1000.0,1000.0,897.7500000000001,64.15968331879702,0.0,0.0,0.0,0.0,919.5372994894734,0.0,457.56131949999997,0.0,332.501211581203,0.0
0.0555555555555555,3,357.0534765,396.6608949,1000.0,1000.0,897.7500000000001,62.89369056858453,0.0,0.0,0.0,0.0,923.0384222347639,0.0,459.3034764999999,0.0,333.7672043314155,0.0
0.0555555555555555,4,357.0534765,396.6608949,1000.0,1000.0,897.7500000000001,62.89369056858453,0.0,0.0,0.0,0.0,0.0,923.0384222347639,0.0,459.3034764999999,0.0,333.7672043314155
0.0555555555555555,5,353.569165,396.6608949,1000.0,1000.0,897.7500000000001,65.42567425230664,0.0,0.0,0.0,0.0,916.0361817683029,0.0,455.81916499999977,0.0,331.2352206476934,0.0
0.0555555555555555,6,355.3113195,396.6608949,1000.0,1000.0,897.7500000000001,64.15968331879702,0.0,0.0,0.0,0.0,919.5372994894734,0.0,457.56131949999997,0.0,332.501211581203,0.0
0.0555555555555555,7,383.7054617,587.1223702,1000.0,1000.0,897.7500000000001,233.98766911486416,0.0,0.0,0.0,0.0,0.0,976.5995373299426,0.0,485.9554616999998,0.0,353.1347010851358
0.0555555555555555,8,506.9542607,781.293796,1000.0,1000.0,897.7500000000001,338.5965089904038,0.0,0.0,0.0,0.0,247.1552919393678,977.1309771309772,122.98435480971966,486.21990589028024,89.37041930128524,353.326867708311
0.0555555555555555,9,497.295584,781.293796,1000.0,1000.0,897.7500000000001,345.61528782540347,0.0,0.0,0.0,0.0,227.7447493282372,977.1309771309772,113.32567810971966,486.21990589028024,82.35164046628555,353.326867708311
0.0555555555555555,10,487.2668116,791.3176496,1000.0,1000.0,897.7500000000001,362.9268618501019,0.0,0.0,0.0,0.0,207.59044454572697,977.1309771309772,103.29690570971968,486.21990589028024,75.0639200415871,353.326867708311
0.0555555555555555,11,472.8077301,791.3176496,1000.0,1000.0,897.7500000000001,373.4340046355868,0.0,0.0,0.0,0.0,977.1309771309772,178.53277688680626,486.21990589028024,88.83782420971966,353.326867708311,64.55677725610221
0.0555555555555555,12,449.1472223,791.3176496,1000.0,1000.0,897.7500000000001,390.62765098384745,0.0,0.0,0.0,0.0,130.98347907741916,977.1309771309772,65.17731640971965,486.21990589028024,47.363130907841544,353.326867708311
0.0555555555555555,13,455.6758214,791.3176496,1000.0,1000.0,897.7500000000001,385.8834407148281,0.0,0.0,0.0,0.0,144.1036667550477,977.1309771309772,71.7059155097196,486.21990589028024,52.10734117686088,353.326867708311
0.0555555555555555,14,473.1244571,791.3176496,1000.0,1000.0,897.7500000000001,373.20384507717927,0.0,0.0,0.0,0.0,179.16928674426902,977.1309771309772,89.15455120971967,486.21990589028024,64.78693681450973,353.326867708311
0.0555555555555555,15,481.4872323,779.3760622,1000.0,1000.0,897.7500000000001,355.1851861073626,0.0,0.0,0.0,0.0,195.97552318936155,977.1309771309772,97.51732640971966,486.21990589028024,70.86400838432637,353.326867708311
0.0555555555555555,16,486.1668577,779.3760622,1000.0,1000.0,897.7500000000001,351.78459027695794,0.0,0.0,0.0,0.0,977.1309771309772,205.37992412876028,486.21990589028024,102.19695180971962,353.326867708311,74.26460421473104
0.0555555555555555,17,488.5970503,779.3760622,1000.0,1000.0,897.7500000000001,350.0186149870041,0.0,0.0,0.0,0.0,977.1309771309772,210.26375640524108,486.21990589028024,104.62714440971956,353.326867708311,76.03057950468484
0.0555555555555555,18,498.1615104,714.0545666,1000.0,1000.0,897.7500000000001,277.7468059845399,0.0,0.0,0.0,0.0,229.48495679219585,977.1309771309772,114.1916045097197,486.21990589028024,82.98089290714917,353.326867708311
0.0555555555555555,19,371.1083804,585.2046364,1000.0,1000.0,897.7500000000001,241.2239975490013,0.0,0.0,0.0,0.0,0.0,951.2838350920238,0.0,473.3583803999999,0.0,343.98063885099873
0.0555555555555555,20,373.1786634,585.2046364,1000.0,1000.0,897.7500000000001,239.71956180131133,0.0,0.0,0.0,0.0,955.4443756750417,0.0,475.4286633999999,0.0,345.4850745986887,0.0
0.0555555555555555,21,375.2489441,585.2046364,1000.0,1000.0,897.7500000000001,238.21512772498818,0.0,0.0,0.0,0.0,959.6049116358686,0.0,477.4989440999999,0.0,346.98950867501185,0.0
0.0555555555555555,22,348.3426941,396.6608949,1000.0,1000.0,897.7500000000001,69.22365243027599,0.0,0.0,0.0,0.0,0.0,905.5328137333958,0.0,450.5926940999999,0.0,327.437242469724
0.0555555555555555,23,350.084851,396.6608949,1000.0,1000.0,897.7500000000001,67.95765975273156,0.0,0.0,0.0,0.0,909.0339362777218,0.0,452.33485099999996,0.0,328.70323514726846,0.0
0.0555555555555555,24,350.084851,396.6608949,1000.0,1000.0,897.7500000000001,67.95765975273156,0.0,0.0,0.0,0.0,909.0339362777218,0.0,452.33485099999996,0.0,328.70323514726846,0.0
0.0555555555555555,25,353.569165,396.6608949,1000.0,1000.0,897.7500000000001,65.42567425230664,0.0,0.0,0.0,0.0,0.0,916.0361817683029,0.0,455.81916499999977,0.0,331.2352206476934
0.0555555555555555,26,355.3113195,396.6608949,1000.0,1000.0,897.7500000000001,64.15968331879702,0.0,0.0,0.0,0.0,0.0,919.5372994894734,0.0,457.56131949999997,0.0,332.501211581203
0.0555555555555555,27,357.0534765,396.6608949,1000.0,1000.0,897.7500000000001,62.89369056858453,0.0,0.0,0.0,0.0,923.0384222347639,0.0,459.3034764999999,0.0,333.7672043314155,0.0
0.0555555555555555,28,362.279945,396.6608949,1000.0,1000.0,897.7500000000001,59.095714134649995,0.0,0.0,0.0,0.0,0.0,933.5417854465155,0.0,464.5299449999999,0.0,337.56518076535
0.0555555555555555,29,364.022102,396.6608949,1000.0,1000.0,897.7500000000001,57.82972138443756,0.0,0.0,0.0,0.0,937.042908191806,0.0,466.2721019999998,0.0,338.83117351556245,0.0
