method,label,seconds_per_point,r2_vs_gold,error
MILP (gap 0.001),MILP (gap 0.001),105.33426963001257,1.0,0.0
MILP (gap 0.01),MILP (gap 0.01),2.0201847499702126,0.9997845049662333,0.00021549503376672163
"mean($\mathrm{LP^L}$, $\mathrm{LP^U}$)",LP mean,1.4775065900175832,0.9988153275735082,0.001184672426491784
Best 1D LR,LR 1D: $\mathrm{LP^L}$,9.756980000529439e-05,0.9110643265142728,0.08893567348572717
Best 2D LR,LR 2D: MILP,0.00010946885000448673,0.9634229182932711,0.03657708170672891
