k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
133,311.4263396,396.6608949,1000.0,1000.0,897.7500000000001,84.41279662036476,0.0,0.0,0.0,0.0,0.0,1047.8124103343466,0.0,413.6763396,0.0,312.24809827963526
134,323.8435229,396.6608949,1000.0,1000.0,897.7500000000001,75.04015066443787,0.0,0.0,0.0,0.0,1079.2642424012154,0.0,426.0935228999998,0.0,321.62074423556214,0.0
135,356.797806,396.6608949,1000.0,1000.0,897.7500000000001,50.165843765248326,0.0,0.0,0.0,0.0,1162.7350709219857,0.0,459.0478059999999,0.0,346.4950511347517,0.0
136,359.9333208,396.6608949,1000.0,1000.0,897.7500000000001,47.7991178017225,0.0,0.0,0.0,0.0,0.0,1170.6771043566362,0.0,462.18332079999993,0.0,348.8617770982775
137,361.6754753,396.6608949,1000.0,1000.0,897.7500000000001,46.48411769787248,0.0,0.0,0.0,0.0,1175.0898563829785,0.0,463.9254752999999,0.0,350.17677720212754,0.0
138,355.1645864,396.6608949,1000.0,1000.0,897.7500000000001,51.39861843799406,0.0,0.0,0.0,0.0,0.0,1158.598243161094,0.0,457.41458639999985,0.0,345.26227646200596
139,366.3734463,396.6608949,1000.0,1000.0,897.7500000000001,42.93803016494434,0.0,0.0,0.0,0.0,1186.989478976697,0.0,468.62344629999996,0.0,353.7228647350557,0.0
140,364.6312917,396.6608949,1000.0,1000.0,897.7500000000001,44.253030344275714,0.0,0.0,0.0,0.0,1182.5767266970615,0.0,466.8812916999999,0.0,352.4078645557243,0.0
141,352.4361953,396.6608949,1000.0,1000.0,897.7500000000001,53.458042317933234,0.0,0.0,0.0,0.0,1151.6874247720364,0.0,454.6861952999999,0.0,343.2028525820668,0.0
142,357.0534765,396.6608949,1000.0,1000.0,897.7500000000001,49.97286045977722,0.0,0.0,0.0,0.0,1163.382665906788,0.0,459.3034764999999,0.0,346.6880344402228,0.0
143,350.084851,396.6608949,1000.0,1000.0,897.7500000000001,55.232866536271615,0.0,0.0,0.0,0.0,0.0,1145.7316388044578,0.0,452.33485099999996,0.0,341.4280283637284
