k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,din_TES,dout_TES,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
22,348.3426941,396.6608949,159.9886783418092,121.65730590000697,0.0,16.536552670387152,-0.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309932,0.0,470.0,0.0,380.12434222961286,0.0
23,350.084851,396.6608949,272.82579862216915,119.9151490000063,0.0,16.53655267038789,-0.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309916,0.0,470.0,0.0,380.1243422296121,0.0
24,350.084851,396.6608949,385.1001414172932,119.91514900000647,0.0,16.536552670387664,-0.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.130977130992,0.0,470.0,0.0,380.12434222961235,0.0
25,353.569165,396.6608949,11.930274393612706,0.0,353.5691650000001,396.6608949,-0.0,-0.0,-0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,355.3113195,396.6608949,120.55308616977982,114.68868050000629,0.0,16.53655267038789,-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309916,0.0,470.0,0.0,380.1243422296121
27,357.0534765,396.6608949,226.98322099751255,112.94652350000655,0.0,16.536552670387664,-0.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.130977130992,0.0,470.0,0.0,380.12434222961235,0.0
28,362.279945,396.6608949,327.9297804386836,107.72005500000654,0.0,16.536552670387664,-0.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.130977130992,0.0,470.0,0.0,380.12434222961235,0.0
29,364.022102,396.6608949,426.721948399663,105.97789800000646,0.0,16.53655267038772,-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309919,0.0,470.0,0.0,380.1243422296123
30,364.022102,396.6608949,525.0213883673372,105.97789800000663,0.0,16.53655267038755,-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309923,0.0,470.0,0.0,380.12434222961247
31,398.210111,587.1223702,590.4330106456547,71.78988900000664,0.0,206.9980279703875,-0.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309923,0.0,470.0,0.0,380.12434222961247,0.0
32,525.2319391,781.293796,529.4944357218964,0.0,55.2319390999935,401.16945377038775,-0.0,-0.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309919,0.0,470.0,0.0,380.1243422296123
33,518.7740505,781.293796,475.64060452723476,0.0,48.77405049999999,401.1694537703946,-0.0,-0.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
34,513.0255398,791.3176496,428.09133185249914,0.0,43.02553979999334,411.19330737038746,-0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,977.1309771309924,0.0,470.0,0.0,380.1243422296125,0.0
35,505.2914575,791.3176496,388.90003245864887,0.0,35.29145749999992,411.19330737039456,-0.0,-0.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
36,489.3713909,791.3176496,366.62034015365083,0.0,19.371390899999938,411.19330737039456,-0.0,-0.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
37,482.3716511,791.3176496,351.8015257298804,0.0,12.371651099999951,411.19330737039456,-0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
38,493.9611443,791.3176496,324.8876018237531,0.0,23.961144299999944,411.19330737039456,-0.0,-0.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
39,505.3895853,779.3760622,286.1079985609663,0.0,35.389585299999965,399.25171997039456,-0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
40,516.1118787,779.3760622,236.26335433747525,0.0,46.11187869999998,399.25171997039456,-0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
41,528.6186163,779.3760622,173.53518204857605,0.0,58.61861629999339,399.25171997038757,-0.0,-0.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309922,0.0,470.0,0.0,380.1243422296124
42,531.5059581,714.0545666,108.08814628620674,0.0,61.50595809999348,333.9302243703877,-0.0,-0.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.130977130992,0.0,470.0,0.0,380.12434222961235
43,402.1626028,585.2046364,171.8337361169481,67.83739720000645,0.0,205.08029417038773,-0.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309919,0.0,470.0,0.0,380.1243422296123,0.0
44,402.1626028,585.2046364,235.26139349203356,67.83739720000605,0.0,205.08029417038813,-0.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309911,0.0,470.0,0.0,380.1243422296119,0.0
45,398.0220389,585.2046364,302.29642234120456,71.97796110000641,0.0,205.08029417038784,-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309917,0.0,470.0,0.0,380.1243422296122
46,370.9907276,396.6608949,394.61276582515944,99.00927240000664,0.0,16.53655267038755,-0.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309923,0.0,470.0,0.0,380.12434222961247,0.0
47,377.9593531,396.6608949,392.64462644477334,0.0,0.0,114.99713315225011,-0.0,-0.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,765.5293183062182,0.0,377.95935309999993,0.0,281.6637617477499
48,381.4436671,396.6608949,474.6048482626201,88.55633290000665,0.0,16.536552670387493,-0.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309924,0.0,470.0,0.0,380.1243422296125,0.0
49,386.6701356,396.6608949,551.2035388941955,83.32986440000676,0.0,16.536552670387437,-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309926,0.0,470.0,0.0,380.1243422296126
50,384.9279786,396.6608949,629.0711103769843,85.07202140000678,0.0,16.53655267038738,-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309927,0.0,470.0,0.0,380.12434222961264
51,384.9279786,396.6608949,706.5503157267874,85.07202140000678,0.0,16.53655267038738,-0.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309927,0.0,470.0,0.0,380.12434222961264,0.0
52,381.4436671,396.6608949,786.9449263878048,88.55633290000665,0.0,16.536552670387493,-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309924,0.0,470.0,0.0,380.1243422296125
53,381.4436671,396.6608949,866.9385672553549,88.55633290000756,0.0,16.536552670386527,-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309946,0.0,470.0,0.0,380.1243422296135
54,383.1858216,396.6608949,862.6146931125028,0.0,0.0,109.40611288335481,-0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,777.5449814033814,0.0,383.1858216,0.0,287.2547820166452,0.0
55,421.0031304,587.1223702,904.7432366403644,48.99686960000659,0.0,206.99802797038757,-0.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309922,0.0,470.0,0.0,380.1243422296124,0.0
56,549.5079332,781.293796,323.24507394947034,0.0,549.5079332,781.293796,-0.0,-0.0,-0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,524.1485906,781.293796,264.7766250900437,0.0,54.14859059999344,401.16945377038763,-0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,977.1309771309922,0.0,470.0,0.0,380.1243422296124,0.0
58,508.9603391,791.3176496,222.5475194428265,0.0,38.96033909999392,411.1933073703881,-0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,977.1309771309911,0.0,470.0,0.0,380.1243422296119,0.0
59,495.7810111,791.3176496,194.36738447058707,0.0,25.781011099993748,411.1933073703879,-0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,977.1309771309915,0.0,470.0,0.0,380.12434222961207,0.0
60,476.4819936,791.3176496,186.59185142198453,0.0,6.481993599996997,411.1933073703914,-0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,977.130977130984,0.0,470.0,0.0,380.1243422296086,0.0
61,482.171696,791.3176496,172.88088656257761,0.0,12.171695999996587,411.1933073703909,-0.0,-0.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.130977130985,0.0,470.0,0.0,380.12434222960906
