k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,din_TES,dout_TES,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
0,320.468192,396.6608949,410.4087326229388,149.5318080000001,0.0,16.5365526703946,-0.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
1,339.6319139,396.6608949,51.746813180976645,0.0,339.6319139,396.6608949,-0.0,-0.0,-0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,355.3113195,396.6608949,160.1710391414649,114.6886805000047,0.0,16.5365526703946,-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
3,357.0534765,396.6608949,266.40357860440486,112.94652350000325,0.0,16.5365526703946,-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
4,357.0534765,396.6608949,372.1062810663599,112.94652350000402,0.0,16.5365526703946,-0.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
5,353.569165,396.6608949,480.5836235604236,116.43083500000009,0.0,16.5365526703946,-0.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
6,355.3113195,396.6608949,105.10826082631212,0.0,355.3113195000003,396.6608949,-0.0,-0.0,-0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,383.7054617,587.1223702,186.35923420095645,86.29453830000344,0.0,206.99802797039456,-0.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
8,506.9542607,781.293796,146.62762803005037,0.0,36.95426069999996,401.1694537703946,-0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
9,497.295584,781.293796,117.23583691635237,0.0,27.29558399999445,401.1694537703946,-0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
10,487.2668116,791.3176496,98.52089292331075,0.0,17.26681159999825,411.19330737039456,-0.0,-0.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
11,472.8077301,791.3176496,95.08138901567688,0.0,2.8077300999957515,411.19330737039456,-0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
12,449.1472223,791.3176496,114.3678645167054,20.852777700000047,0.0,411.19330737039456,-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
13,455.6758214,791.3176496,127.37145878763447,14.324178600000039,0.0,411.19330737039456,-0.0,-0.0,0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
14,473.1244571,791.3176496,123.45549734502892,0.0,3.124457099997329,411.19330737039456,-0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
15,481.4872323,779.3760622,110.77811624856616,0.0,11.487232299994503,399.25171997039456,-0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
16,486.1668577,779.3760622,93.25033668506043,0.0,16.166857699995717,399.25171997039456,-0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
17,488.5970503,779.3760622,56.79375037183425,0.0,34.27747444443514,416.0258704730546,-0.0,-0.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,941.0816459735895,0.0,454.31957585556484,0.0,363.35019172694535
18,498.1615104,714.0545666,0.0,0.0,53.81929010036026,361.3776616522924,-0.0,-0.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,918.1436826125542,0.0,444.3422202996397,0.0,352.67690494770767
19,371.1083804,585.2046364,93.71256198063085,98.89161960000558,0.0,205.0802941703946,-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
20,373.1786634,585.2046364,184.9958704959592,96.82133660000011,0.0,205.0802941703946,-0.0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
21,375.2489441,585.2046364,273.8620436777452,94.75105590000422,0.0,205.0802941703946,-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
22,348.3426941,396.6608949,387.7821364988806,121.65730590000527,0.0,16.5365526703946,-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
23,350.084851,396.6608949,499.4831321669093,119.91514900000416,0.0,16.5365526703946,-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
24,350.084851,396.6608949,129.40132255985708,0.0,350.0848510000003,396.6608949,-0.0,-0.0,-0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,353.569165,396.6608949,239.08916108451416,116.43083500000336,0.0,16.5365526703946,-0.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
26,355.3113195,396.6608949,346.5790131867403,114.68868050000316,0.0,16.5365526703946,-0.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
27,357.0534765,396.6608949,451.88183900048057,112.94652350000428,0.0,16.5365526703946,-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
28,362.279945,396.6608949,551.706711904823,107.7200550000046,0.0,16.5365526703946,-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
29,364.022102,396.6608949,649.3827877639167,105.97789800000581,0.0,16.5365526703946,-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
30,364.022102,396.6608949,746.5717021622844,105.9778980000043,0.0,16.5365526703946,-0.0,-0.0,1.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
31,398.210111,587.1223702,810.8783376406791,71.78988900000374,0.0,206.99802797039456,-0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
32,525.2319391,781.293796,748.8402870616553,0.0,55.2319390999952,401.1694537703946,-0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
33,518.7740505,781.293796,693.8924638694419,0.0,48.774050499995724,401.1694537703946,-0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
34,513.0255398,791.3176496,645.254655504996,0.0,43.0255397999984,411.19330737039456,-0.0,-0.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
35,505.2914575,791.3176496,604.9802495158478,0.0,35.291457499994976,411.19330737039456,-0.0,-0.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
36,489.3713909,791.3176496,581.6228526322316,0.0,19.37139089999596,411.19330737039456,-0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
37,482.3716511,791.3176496,565.731708703851,0.0,12.371651099997706,411.19330737039456,-0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
