k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,Qin_B1,Qout_B1,Qin_CHP1,Qout_CHP1,Pout_CHP1,Qin_B2,Qout_B2,Qin_CHP2,Qout_CHP2,Pout_CHP2
129,401.3612252,396.6608949,0.0,0.0,0.0,104.99923563529882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,806.5948790065817,401.3612252,291.6616592647012
130,326.6620243,396.6608949,0.0,0.0,0.0,159.28174105017732,0.0,0.0,656.475761541261,326.6620243,237.3791538498227,0.0,0.0,0.0,0.0,0.0
131,340.0834718,396.6608949,0.0,0.0,0.0,149.52862739144396,0.0,0.0,683.4481498604396,340.0834718,247.13226750855605,0.0,0.0,0.0,0.0,0.0
132,311.7575129,396.6608949,0.0,0.0,0.0,170.11256937268774,0.0,0.0,626.5229364686729,311.7575129,226.54832552731227,0.0,0.0,0.0,0.0,0.0
133,311.4263396,396.6608949,0.0,0.0,0.0,170.3532267858049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.8573946298703,311.4263396,226.3076681141951
134,323.8435229,396.6608949,0.0,0.0,0.0,161.32989304730722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.8115651690777,323.8435229,235.3310018526928
135,356.797806,396.6608949,0.0,0.0,0.0,137.38263485355606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0380821340582,356.797806,259.27826004644396
136,359.9333208,396.6608949,0.0,0.0,0.0,135.1041151765212,0.0,0.0,723.3393639269595,359.9333208,261.5567797234788,0.0,0.0,0.0,0.0,0.0
137,361.6754753,396.6608949,0.0,0.0,0.0,133.83812424301163,0.0,0.0,726.8404816481298,361.6754753,262.8227706569884,0.0,0.0,0.0,0.0,0.0
138,355.1645864,396.6608949,0.0,0.0,0.0,138.56946484253234,0.0,0.0,713.7558852427248,355.1645864,258.0914300574677,0.0,0.0,0.0,0.0,0.0
139,366.3734463,396.6608949,0.0,0.0,0.0,130.42419700986983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736.2817507902427,366.3734463,266.2366978901302
140,364.6312917,396.6608949,0.0,0.0,0.0,131.69018801604744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.7806328681078,364.6312917,264.9707068839526
141,352.4361953,396.6608949,0.0,0.0,0.0,140.55213537816394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708.2727788761582,352.4361953,256.1087595218361
142,357.0534765,396.6608949,0.0,0.0,0.0,137.1968439062171,0.0,0.0,717.5518899038802,357.0534765,259.4640509937829,0.0,0.0,0.0,0.0,0.0
143,350.084851,396.6608949,0.0,0.0,0.0,142.26081309036414,0.0,0.0,703.547403946838,350.084851,254.40008180963588,0.0,0.0,0.0,0.0,0.0
144,339.6319139,396.6608949,0.0,0.0,0.0,149.85676603090135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.54067732237,339.6319139,246.80412886909866
145,339.6319139,396.6608949,0.0,0.0,0.0,149.85676603090135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.54067732237,339.6319139,246.80412886909866
146,336.1475999,396.6608949,0.0,0.0,0.0,152.3887515313264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.5384318317886,336.1475999,244.27214336867362
147,308.2730979,396.6608949,0.0,0.0,0.0,172.64462826791464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619.5204880036194,308.2730979,224.01626663208538
148,315.2417234,396.6608949,0.0,0.0,0.0,167.58065908376756,0.0,0.0,633.5249739606618,315.2417234,229.08023581623246,0.0,0.0,0.0,0.0,0.0
149,316.9838804,396.6608949,0.0,0.0,0.0,166.31466633355507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.0260967059525,316.9838804,230.34622856644495
150,310.0152548,396.6608949,0.0,0.0,0.0,171.37863559037024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0216105479453,310.0152548,225.28225930962978
151,323.6147762,587.1223702,0.0,0.0,0.0,351.95759427518567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.3518647664847,323.6147762,235.1647759248143
152,421.0917485,781.293796,0.0,0.0,0.0,475.294336263987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.2462903903539,421.0917485,305.999459736013
153,388.4932398,781.293796,0.0,0.0,0.0,498.98305988759824,0.0,0.0,780.734754821443,388.4932398,282.3107361124018,0.0,0.0,0.0,0.0,0.0
