gas_price_MWh,electricity_price_MWh,opex_milp,opex_lp_lower,opex_lp_upper,opex_lp_approx
25.0,65.0,5949.7773172883635,5899.573024135116,6204.8912390475725,6145.403404087067
315.0,65.0,30720.493261205123,30720.4932612052,30720.4932612052,30300.303860397715
25.0,450.0,19626.783699696498,17406.404317405457,23218.359525169042,17947.505625541846
315.0,450.0,61398.06933599215,60557.17411720006,61568.5604604244,61563.79220661969
250.10575069921592,311.3310770229009,46790.0855586335,46356.62476388181,46791.36968495508,46904.257098127666
161.48392380779208,241.09623897925812,31890.388086789862,31434.96601890728,32036.821085336047,32007.964525362375
286.9252721323495,418.87631384193645,56314.408798492805,55497.07656371636,56490.29974313943,56463.15360378888
263.07256993448624,114.8694443639499,31197.317476160693,31197.31747616076,31197.31747616076,30846.395871304707
133.59682372950303,148.31192381355845,23977.99147162756,23611.484728301846,24072.348843831976,23894.139417442508
28.87306629477934,192.3886141406711,10997.717369454826,10319.955244721368,12350.577213219394,10737.76142530236
179.48689977366197,69.4107469987523,20465.43005718183,20465.430057181875,20465.430057181875,20226.006270297155
47.94938542105608,343.2246831638695,19140.224564988603,17847.418508980125,21559.01160535405,18556.280569702933
206.93676842067643,361.48672642604123,42623.05611129355,42254.34346130436,43446.498138443836,43276.17783916334
69.80658653918144,279.9214897768137,20069.566513623657,19414.857156770348,21675.145138311134,20307.788654294298
196.37849468290528,288.27241922202825,38430.04153243327,38042.9490698541,38735.42253992915,38712.82350980433
151.66779879164025,381.0864232960339,35570.50534506201,35327.87643523785,37057.76585591835,36712.60223098713
226.2754329890724,167.63232756674284,33128.81367957798,33128.81367957803,33128.81367957803,32826.97704908555
314.66987556093096,226.54047090311354,45469.00947291912,45469.0094729192,45469.0094729192,45049.26043652519
99.27889249699405,432.63450725200016,29798.01327379753,28643.83751577381,32352.303281905373,29935.614148288078
82.5916590468913,100.4476228880946,15431.073883455716,15178.007267764018,15344.188080258773,15387.463044035614
