ratio,marius_milp,erdem_milp,marius_lower,erdem_lower,marius_upper,erdem_upper,marius_approx,erdem_approx
0.0555555555555555,43493.31136184362,43648.0331943324,38680.898483123216,38680.89848312322,52117.430520014146,52117.430520014146,39883.345834537424,39883.345834537424
0.0623000301008691,44622.643034785455,44528.4379578402,39748.3764816066,39748.37648160661,53011.592859526,53011.59285952599,41019.9824018693,41019.982401869296
0.0698632875102457,45682.61816379352,45709.878838580524,40945.44688748216,40945.446887482176,54014.306991525744,54014.30699152574,42294.60726432276,42294.60726432276
0.0783447284670117,46979.74986867327,46970.27002741015,42287.84228922248,42287.842289222484,55138.75116243645,55138.75116243644,43723.97227568974,43723.97227568974
0.0878558209513066,48292.06690551797,48303.5446946045,43793.20522006492,43793.20522006492,56399.70346493717,56399.70346493716,45326.86297388902,45326.862973889016
0.0985215652164535,49783.96193843409,49774.25548791575,45481.32002634079,45481.32002634079,57813.73606016515,57813.736060165145,47124.34547132093,47124.34547132092
0.1104821366142564,51655.929378637025,51557.02122000606,47374.37288474558,47374.372884745586,59399.4329785988,59399.43297859879,49140.04331784522,49140.04331784521
0.1238947278601773,53465.79981782677,53611.702281629434,49497.24338584637,49497.24338584638,61177.63436208569,61177.63436208568,51400.44797507419,51400.44797507418
0.1389356149505047,55755.2212302049,55692.27710967019,51877.831515985235,51877.831515985235,63171.71035698521,63171.710356985204,53935.26698241335,53935.26698241334
0.155802473882986,58089.60455864158,57991.243949234326,54547.42433496288,54547.42433496288,65407.86825808714,65407.868258087125,56777.81439064812,56777.81439064811
0.1747169786285984,60830.20149443768,60821.995227232335,57541.107168591545,57541.10716859154,67915.49693996814,67915.49693996813,59965.44859437922,59965.44859437921
0.1959277144985028,63942.05888278984,63947.37424413905,60898.22472024694,60898.22472024693,70727.55310250196,70727.55310250196,63540.06331755336,63540.063317553344
0.2197134451953221,67430.45983820257,67366.45811323484,64662.8981616121,64662.89816161208,73880.99440678341,73880.9944067834,67548.63820490302,67548.638204903
0.2463867764862163,71298.75033687553,71175.62062819404,68884.60499851796,68884.60499851793,77417.26519398847,77417.26519398845,72043.85625548553,72043.85625548552
0.2762982646478532,75732.18870910301,75570.00916740106,73618.82933281099,73618.82933281097,81382.84117076705,81382.84117076702,77084.7962129882,77084.79621298819
0.3098410236788252,80642.24931258857,80575.16688604763,78927.79106636404,78927.791066364,85829.84021973767,85829.84021973764,82737.70901259186,82737.70901259185
0.3474558918301489,86132.56225221435,86229.75559020901,84881.26363084896,84881.26363084893,90816.70736270699,90816.70736270696,89076.88848890402,89076.88848890399
0.3896372253553672,92368.57434986913,91631.84867738893,91545.38405414589,91545.38405414588,96408.9828787954,96408.98287879536,95217.62977767824,95217.62977767824
0.4369393956250535,98905.97804599488,98979.46138202533,98102.96355783498,98102.96355783497,102680.16367251932,102680.1636725193,101556.45369129514,101556.45369129514
