k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
26,355.3113195,396.6608949,0.0,326.68868050000003,0.0,16.5365526703946,1.0,1.0,0.0,1.0,114.6125,114.6125,106.0,106.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
27,357.0534765,396.6608949,309.5796523866929,0.0,145.0534765,396.6608949,1.0,1.0,0.0,0.0,114.6125,114.6125,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
28,362.279945,396.6608949,155.72883169888848,0.0,147.57284235184352,396.6608949,1.0,1.0,0.0,0.0,118.11058420316468,114.6125,108.70710264815648,106.0,0.0,0.0,0.0,0.0,0.0,0.0
29,364.022102,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,311.05355992812497,114.6125,258.022102,106.0,0.0,0.0,0.0,0.0,0.0,0.0
30,364.022102,396.6608949,0.0,207.36121115304027,0.0,134.86887175724883,1.0,1.0,0.0,1.0,114.6125,114.6125,106.0,106.0,0.0,722.8229597617994,0.0,359.3833131530403,0.0,261.7920231427512
31,398.210111,587.1223702,196.5014874987131,0.0,186.21011099999998,587.1223702,1.0,1.0,0.0,0.0,114.6125,114.6125,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
32,525.2319391,781.293796,0.0,0.0,0.0,568.8722546209705,1.0,1.0,0.0,1.0,114.6125,114.6125,106.0,106.0,0.0,616.7208447117447,0.0,313.2319391,0.0,212.42154137902958
33,518.7740505,781.293796,0.0,0.0,0.0,575.7805878591537,1.0,1.0,0.0,1.0,114.6125,114.6125,106.0,106.0,0.0,601.8741439736441,0.0,306.77405050000004,0.0,205.5132081408464
34,513.0255398,791.3176496,0.0,0.0,0.0,591.9539169299541,1.0,1.0,0.0,1.0,114.6125,114.6125,106.0,106.0,0.0,588.6583046585048,0.0,301.02553980000005,0.0,199.36373267004586
35,505.2914575,791.3176496,0.0,0.0,0.0,600.227459743922,1.0,1.0,1.0,0.0,114.6125,114.6125,106.0,106.0,570.8776316701316,0.0,293.2914575,0.0,191.09018985607796,0.0
