price_ratio,sum_dB,sum_dCHP
0.0555555555555555,1.0,148.99999970083408
0.0893713346079481,0.0,150.0
0.1233911107895812,1.0,149.0
0.1576945617163741,0.0,150.0
0.1923639978655037,0.0,150.0
0.2274851747304914,0.0,150.0
0.2631481749423249,1.0,150.0
0.2994483803250109,3.0,150.0
0.3364875571305372,3.0,149.0
0.374375081959696,1.0,151.0
0.4132293413731582,0.0,155.0
0.4531793452700574,1.0,152.0
0.4943666032148951,0.0,156.0
0.5369473246438122,0.0,156.0
0.5810950191156552,0.0,158.0
0.6270035926384541,0.0,155.0
0.6748910621810882,0.0,155.0
0.7250040449789279,0.0,166.0
0.7776232252656621,39.0,166.0
0.8330700630282494,262.0,95.0
0.8917150936456031,336.0,30.0
0.9539882831007782,336.0,44.0
1.0203920645407452,336.0,45.0
1.091517908817082,336.0,0.0
1.168067605518584,336.0,0.0
1.250880900288078,336.0,0.0
1.340971825225607,336.0,0.0
1.4395770947581872,336.0,0.0
1.5482215215945574,336.0,0.0
1.6688078768808596,336.0,0.0
1.803742564974572,336.0,0.0
1.9561149574743133,336.0,0.0
2.12995917040455,336.0,0.0
2.330646178228069,336.0,0.0
2.565488832869584,336.0,0.0
2.844708082703033,336.0,0.0
3.183039777919102,336.0,0.0
3.6025391046873474,336.0,0.0
4.137771808287654,336.0,0.0
4.846153846153846,336.0,0.0
