ratio,opex_milp,opex_lp_lower,opex_lp_upper,opex_lp_approx,time_milp,time_lp_lower,time_lp_upper,time_lp_approx
0.05555555555555556,43656.85993412987,38680.89848312324,51596.354500375644,39883.34583453743,11.829426900018007,0.9936243999982253,0.9280628999695182,0.30605589994229376
0.06230003010086918,44610.06427508412,39748.376481606625,52495.38958568415,41019.98240186931,8.446431200020015,0.6802274000365287,0.765566400019452,0.2324989999178797
0.06986328751024574,45558.999700151544,40945.446887482176,53503.56801746039,42294.60726432277,9.290458000032231,0.4815601999871433,0.5599418999627233,0.2240024000639096
0.07834472846701176,46884.46025648162,42287.8422892225,54634.1398571011,43723.97227568975,5.0956571999704465,0.5496348000597209,0.5142068999120966,0.2947446000762284
0.08785582095130663,48338.08797287817,43793.20522006493,55901.96373063572,45326.862973889016,8.557325799949467,0.4353619000175968,0.49558029999025166,0.355796099989675
0.09852156521645357,49899.064805254355,45481.32002634081,57323.70210934423,47124.345471320936,6.82658829994034,0.4643623000010848,0.4889901999849826,0.31311260000802577
0.11048213661425647,51643.82634843847,47374.37288474559,58918.04029754807,49140.04331784522,9.95362520008348,1.4249374000355601,0.9678117000730708,0.649191900040023
0.12389472786017737,53480.00792898122,49497.243385846385,60705.93200563722,51400.44797507419,8.593054999946617,0.5160954999737442,0.6859548999927938,0.35922039998695254
0.1389356149505048,55595.70573248679,51877.83151598525,62710.8747357961,53935.26698241336,8.056437999941409,0.5530936999712139,0.6623193999985233,0.34212650009430945
0.15580247388298601,58039.044970537216,54547.42433496288,64959.21859970561,56777.81439064811,4.71764789998997,0.5166652000043541,0.5964375999756157,0.3728028000332415
0.17471697862859842,60799.42450809278,57541.107168591545,67480.5126268816,59965.44859437921,5.122161000035703,0.5371640999801457,0.6048937999876216,0.3392734000226483
0.19592771449850283,63925.267220566166,60898.22472024693,70307.89311503332,63540.06331755336,4.758357199956663,0.6606601000530645,1.0658048000186682,0.369197899941355
0.21971344519532215,67431.19155467051,64662.89816161209,73478.51912636565,67548.63820490302,3.4602005999768153,0.5279488998930901,0.5495673000114039,0.26423690002411604
