ratio,opex_lp_upper_bo,opex_lp_upper_chp
0.0555555555555555,95829.5314719342,51596.35450037564
0.0893713346079481,98489.2334554088,56103.98094345648
0.1233911107895812,101164.98036182969,60638.80010188634
0.1576945617163741,103863.03905001358,65211.43296203621
0.1923639978655037,106589.88346039726,69832.85146936652
0.2274851747304914,109352.25849321972,74514.48678829425
0.2631481749423249,112157.24938972126,79268.3468884975
0.2994483803250109,115012.35818692742,84107.14611943475
0.3364875571305372,117925.58907429787,89044.44987162271
0.374375081959696,120905.54481569685,94094.83799126932
0.4132293413731582,123961.53683256893,99274.09134773022
0.4531793452700574,127103.71210050449,104599.40689606755
0.4943666032148951,130343.20072739787,110005.28064585805
0.5369473246438122,133692.28900558903,115557.63022499974
0.5810950191156552,137164.6239286043,121314.30659390567
0.6270035926384541,140775.4567255627,127300.5942922912
0.6748910621810882,144541.93501751003,133544.9218292276
0.7250040449789279,148483.4559133834,140079.44706998975
0.7776232252656621,152622.0959831745,146940.77007522705
0.8330700630282494,156983.1389195523,154170.80789480158
0.8917150936456031,161595.7283267707,161815.3015525544
0.9539882831007782,166493.68218596178,169895.56001044426
1.0203920645407452,171716.51821562875,178482.77454107557
1.091517908817082,177310.75718924467,187562.50275309492
1.168067605518584,183331.5967457108,197150.01655316952
1.250880900288078,189845.0851386658,207518.5226018938
1.340971825225607,196930.9787204212,218681.4877557751
1.4395770947581872,204686.54840729776,230793.67574667415
1.5482215215945574,213231.7248204288,244088.17190263423
1.6688078768808596,222716.16602871908,258838.86938286113
1.803742564974572,233329.14220786703,275344.21849076694
1.9561149574743133,245313.64074419925,293982.56544324546
2.12995917040455,258986.95571440153,315240.6480818051
2.330646178228069,274771.52870734665,339774.2625511519
2.565488832869584,293242.5351977409,368483.3414916258
2.844708082703033,315203.8802685051,402617.3768839821
3.183039777919102,341814.5781750741,443977.0366662108
3.6025391046873474,374809.3286358895,495238.9623474463
4.137771808287654,416906.82049555104,560642.3864264074
4.846153846153846,472622.97324931074,647204.0081674424
