ratio,c_G,c_e,c_el,opex_milp,opex_lp_lower,opex_lp_upper,opex_lp_approx
0.8345186715715709,0.2562657813388724,0.30708214216018803,1,153797.08241353443,152369.9815354952,154244.76748725396,154834.8763843728
0.950645568649801,0.27684212761531435,0.2912148720248203,1,165908.41969145567,164342.1705717928,169271.98377659856,164962.6696810173
0.2814884834460557,0.06279020890748466,0.2230649301839652,1,75984.75083939712,74440.30835792582,82070.94491435724,77959.49630101648
0.3265539067949568,0.13836298034154026,0.4237064002679912,1,82503.26480109354,81573.01344771197,88045.58446589131,85554.30709858189
0.6802293040050569,0.17433594982372866,0.2562899728036895,1,132594.59942339838,131830.65316596942,134268.14420371808,134159.01463909872
0.7811986314281194,0.08340258521297025,0.10676232888490972,1,146845.8378853665,145828.20102129615,147341.15272618138,147689.61553039198
2.0398590598656465,0.23491120086548323,0.11516050568756227,1,251900.33966038917,251900.33966038917,259380.37534172524,249179.30106960662
2.756453296214281,0.2819885947021927,0.10230124163158376,1,308262.4039147709,308262.4039147709,318370.1458736576,304585.4754738506
0.863015192769689,0.286666228837264,0.332168229758808,1,157135.68179912367,155307.85163488227,157934.35593942445,158187.19809215458
1.3937627311468492,0.1822287679532554,0.1307459037904605,1,201083.1254732905,201083.1254732905,206193.9662982353,199223.93713402608
