k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
34,513.0255398,791.3176496,0.0,0.0,0.0,791.3176496,635.0897992077248,0.0,513.0255398,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,505.2914575,791.3176496,0.0,0.0,0.0,791.3176496,0.0,625.5155453082447,0.0,505.2914575,0.0,0.0,0.0,0.0,0.0,0.0
36,489.3713909,791.3176496,0.0,0.0,0.0,791.3176496,0.0,605.8076143847487,0.0,489.3713909,0.0,0.0,0.0,0.0,0.0,0.0
37,482.3716511,791.3176496,0.0,0.0,0.0,791.3176496,597.1424252290171,0.0,482.3716511,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,493.9611443,791.3176496,0.0,0.0,0.0,791.3176496,0.0,611.4894086407527,0.0,493.9611443,0.0,0.0,0.0,0.0,0.0,0.0
39,505.3895853,779.3760622,0.0,0.0,0.0,779.3760622,625.6370206734341,0.0,505.3895853,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,516.1118787,779.3760622,0.0,0.0,0.0,779.3760622,638.9104712800199,0.0,516.1118787,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,528.6186163,779.3760622,0.0,0.0,0.0,779.3760622,0.0,654.3929392176282,0.0,528.6186163,0.0,0.0,0.0,0.0,0.0,0.0
42,531.5059581,714.0545666,0.0,0.0,0.0,714.0545666,0.0,657.9672667739541,0.0,531.5059581,0.0,0.0,0.0,0.0,0.0,0.0
43,402.1626028,585.2046364,0.0,0.0,0.0,585.2046364,0.0,497.84922357019065,0.0,402.1626028,0.0,0.0,0.0,0.0,0.0,0.0
44,402.1626028,585.2046364,0.0,0.0,0.0,585.2046364,0.0,497.84922357019065,0.0,402.1626028,0.0,0.0,0.0,0.0,0.0,0.0
45,398.0220389,585.2046364,0.0,0.0,0.0,585.2046364,0.0,492.72349455310723,0.0,398.0220389,0.0,0.0,0.0,0.0,0.0,0.0
46,370.9907276,396.6608949,0.0,0.0,0.0,396.6608949,0.0,459.2606184699183,0.0,370.9907276,0.0,0.0,0.0,0.0,0.0,0.0
47,377.9593531,396.6608949,0.0,0.0,0.0,396.6608949,467.8872902946274,0.0,377.9593531,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,381.4436671,396.6608949,0.0,0.0,0.0,396.6608949,0.0,472.2006277543947,0.0,381.4436671,0.0,0.0,0.0,0.0,0.0,0.0
49,386.6701356,396.6608949,0.0,0.0,0.0,396.6608949,0.0,478.6706308492201,0.0,386.6701356,0.0,0.0,0.0,0.0,0.0,0.0
50,384.9279786,396.6608949,0.0,0.0,0.0,396.6608949,476.5139621193365,0.0,384.9279786,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,384.9279786,396.6608949,0.0,0.0,0.0,396.6608949,0.0,476.5139621193365,0.0,384.9279786,0.0,0.0,0.0,0.0,0.0,0.0
52,381.4436671,396.6608949,0.0,0.0,0.0,396.6608949,472.2006277543947,0.0,381.4436671,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,381.4436671,396.6608949,0.0,0.0,0.0,396.6608949,0.0,472.2006277543947,0.0,381.4436671,0.0,0.0,0.0,0.0,0.0,0.0
54,383.1858216,396.6608949,0.0,0.0,0.0,396.6608949,0.0,474.3572933894529,0.0,383.1858216,0.0,0.0,0.0,0.0,0.0,0.0
55,421.0031304,587.1223702,0.0,0.0,0.0,587.1223702,521.1724813072543,0.0,421.0031304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,549.5079332,781.293796,0.0,0.0,0.0,781.293796,0.0,680.2524550631344,0.0,549.5079332,0.0,0.0,0.0,0.0,0.0,0.0
57,524.1485906,781.293796,0.0,0.0,0.0,781.293796,648.8593594949245,0.0,524.1485906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,508.9603391,791.3176496,0.0,0.0,0.0,791.3176496,630.0573645704383,0.0,508.9603391,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,495.7810111,791.3176496,0.0,0.0,0.0,791.3176496,0.0,613.7422766773955,0.0,495.7810111,0.0,0.0,0.0,0.0,0.0,0.0
60,476.4819936,791.3176496,0.0,0.0,0.0,791.3176496,589.8514404555583,0.0,476.4819936,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,482.171696,791.3176496,0.0,0.0,0.0,791.3176496,596.8948947759346,0.0,482.171696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,495.1631036,791.3176496,0.0,0.0,0.0,791.3176496,0.0,612.9773503342411,0.0,495.1631036,0.0,0.0,0.0,0.0,0.0,0.0
63,515.3563626,779.3760622,0.0,0.0,0.0,779.3760622,637.9751950977965,0.0,515.3563626,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,518.6132248,779.3760622,0.0,0.0,0.0,779.3760622,642.0069631096807,0.0,518.6132248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,518.6132248,779.3760622,0.0,0.0,0.0,779.3760622,0.0,642.0069631096807,0.0,518.6132248,0.0,0.0,0.0,0.0,0.0,0.0
66,526.7424659,714.0545666,0.0,0.0,0.0,714.0545666,0.0,652.0703960138648,0.0,526.7424659,0.0,0.0,0.0,0.0,0.0,0.0
67,391.8111945,585.2046364,0.0,0.0,0.0,585.2046364,0.0,485.03490282248083,0.0,391.8111945,0.0,0.0,0.0,0.0,0.0,0.0
68,389.7409138,585.2046364,0.0,0.0,0.0,585.2046364,0.0,482.47203986135185,0.0,389.7409138,0.0,0.0,0.0,0.0,0.0,0.0
69,389.7409138,585.2046364,0.0,0.0,0.0,585.2046364,0.0,482.47203986135185,0.0,389.7409138,0.0,0.0,0.0,0.0,0.0,0.0
70,357.0534765,396.6608949,0.0,0.0,0.0,396.6608949,0.0,442.0072746967071,0.0,357.0534765,0.0,0.0,0.0,0.0,0.0,0.0
71,357.0534765,396.6608949,0.0,0.0,0.0,396.6608949,0.0,442.0072746967071,0.0,357.0534765,0.0,0.0,0.0,0.0,0.0,0.0
72,360.5377905,396.6608949,0.0,0.0,0.0,396.6608949,0.0,446.32061215647445,0.0,360.5377905,0.0,0.0,0.0,0.0,0.0,0.0
73,357.0534765,396.6608949,0.0,0.0,0.0,396.6608949,0.0,442.0072746967071,0.0,357.0534765,0.0,0.0,0.0,0.0,0.0,0.0
74,364.022102,396.6608949,0.0,0.0,0.0,396.6608949,450.63394652141625,0.0,364.022102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,353.569165,396.6608949,0.0,0.0,0.0,396.6608949,0.0,437.6939403317653,0.0,353.569165,0.0,0.0,0.0,0.0,0.0,0.0
76,358.7956335,396.6608949,0.0,0.0,0.0,396.6608949,0.0,444.1639434265908,0.0,358.7956335,0.0,0.0,0.0,0.0,0.0,0.0
77,365.764259,396.6608949,0.0,0.0,0.0,396.6608949,452.7906152512998,0.0,365.764259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,381.4436671,396.6608949,0.0,0.0,0.0,396.6608949,472.2006277543947,0.0,381.4436671,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,410.6426673,587.1223702,0.0,0.0,0.0,587.1223702,0.0,508.34695134934395,0.0,410.6426673,0.0,0.0,0.0,0.0,0.0,0.0
80,541.2815198,781.293796,0.0,0.0,0.0,781.293796,0.0,670.0687296360485,0.0,541.2815198,0.0,0.0,0.0,0.0,0.0,0.0
81,510.2371802,781.293796,0.0,0.0,0.0,781.293796,0.0,631.6380047041347,0.0,510.2371802,0.0,0.0,0.0,0.0,0.0,0.0
82,470.167779,791.3176496,0.0,0.0,0.0,791.3176496,0.0,582.034883634563,0.0,470.167779,0.0,0.0,0.0,0.0,0.0,0.0
83,453.1732935,791.3176496,0.0,0.0,0.0,791.3176496,560.996897128002,0.0,453.1732935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,456.6195372,791.3176496,0.0,0.0,0.0,791.3176496,565.2631062144096,0.0,456.6195372,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,462.0876488,791.3176496,0.0,0.0,0.0,791.3176496,572.0322465956921,0.0,462.0876488,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,460.9349327,791.3176496,0.0,0.0,0.0,791.3176496,0.0,570.6052645456797,0.0,460.9349327,0.0,0.0,0.0,0.0,0.0,0.0
87,488.5970503,779.3760622,0.0,0.0,0.0,779.3760622,604.8490347858381,0.0,488.5970503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,503.6051387,779.3760622,0.0,0.0,0.0,779.3760622,623.4280003713791,0.0,503.6051387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,516.1118787,779.3760622,0.0,0.0,0.0,779.3760622,0.0,638.9104712800199,0.0,516.1118787,0.0,0.0,0.0,0.0,0.0,0.0
90,536.2694503,714.0545666,0.0,0.0,0.0,714.0545666,0.0,663.8641375340432,0.0,536.2694503,0.0,0.0,0.0,0.0,0.0,0.0
91,404.2328834,585.2046364,0.0,0.0,0.0,585.2046364,500.4120864075266,0.0,404.2328834,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,418.7248531,585.2046364,0.0,0.0,0.0,585.2046364,518.3521330774945,0.0,418.7248531,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,414.5842893,585.2046364,0.0,0.0,0.0,585.2046364,513.2264041842041,0.0,414.5842893,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,372.7328846,396.6608949,0.0,0.0,0.0,396.6608949,0.0,461.41728719980193,0.0,372.7328846,0.0,0.0,0.0,0.0,0.0,0.0
95,367.506416,396.6608949,0.0,0.0,0.0,396.6608949,0.0,454.9472839811835,0.0,367.506416,0.0,0.0,0.0,0.0,0.0,0.0
96,372.7328846,396.6608949,0.0,0.0,0.0,396.6608949,0.0,461.41728719980193,0.0,372.7328846,0.0,0.0,0.0,0.0,0.0,0.0
97,365.764259,396.6608949,0.0,0.0,0.0,396.6608949,452.7906152512998,0.0,365.764259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,377.9593531,396.6608949,0.0,0.0,0.0,396.6608949,0.0,467.8872902946274,0.0,377.9593531,0.0,0.0,0.0,0.0,0.0,0.0
99,360.5377905,396.6608949,0.0,0.0,0.0,396.6608949,0.0,446.32061215647445,0.0,360.5377905,0.0,0.0,0.0,0.0,0.0,0.0
100,362.279945,396.6608949,0.0,0.0,0.0,396.6608949,0.0,448.4772777915326,0.0,362.279945,0.0,0.0,0.0,0.0,0.0,0.0
101,346.6005395,396.6608949,0.0,0.0,0.0,396.6608949,0.0,429.06726850705627,0.0,346.6005395,0.0,0.0,0.0,0.0,0.0,0.0
102,353.569165,396.6608949,0.0,0.0,0.0,396.6608949,0.0,437.6939403317653,0.0,353.569165,0.0,0.0,0.0,0.0,0.0,0.0
103,352.4361953,396.6608949,0.0,0.0,0.0,396.6608949,436.2914029462739,0.0,352.4361953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,348.135434,396.6608949,0.0,0.0,0.0,396.6608949,430.9673607328547,0.0,348.135434,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,312.5361524,396.6608949,0.0,0.0,0.0,396.6608949,386.8979356276306,0.0,312.5361524,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,300.9302561,396.6608949,0.0,0.0,0.0,396.6608949,372.5306463233474,0.0,300.9302561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,267.7250826,396.6608949,0.0,0.0,0.0,396.6608949,331.42495989106214,0.0,267.7250826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,253.5148143,396.6608949,0.0,0.0,0.0,396.6608949,313.83363988611046,0.0,253.5148143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,249.9992176,396.6608949,0.0,0.0,0.0,396.6608949,309.4815766278782,0.0,249.9992176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,287.3005279,396.6608949,0.0,0.0,0.0,396.6608949,355.6579944293142,0.0,287.3005279,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,308.5140356,396.6608949,0.0,0.0,0.0,396.6608949,0.0,381.91883585045804,0.0,308.5140356,0.0,0.0,0.0,0.0,0.0,0.0
112,328.5745047,396.6608949,0.0,0.0,0.0,396.6608949,0.0,406.7522959891062,0.0,328.5745047,0.0,0.0,0.0,0.0,0.0,0.0
113,332.0588187,396.6608949,0.0,0.0,0.0,396.6608949,0.0,411.06563344887354,0.0,332.0588187,0.0,0.0,0.0,0.0,0.0,0.0
114,339.4851783,396.6608949,0.0,0.0,0.0,396.6608949,420.2589481307254,0.0,339.4851783,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,350.6940407,396.6608949,0.0,0.0,0.0,396.6608949,434.1347371874227,0.0,350.6940407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,354.1783523,396.6608949,0.0,0.0,0.0,396.6608949,0.0,438.44807167615744,0.0,354.1783523,0.0,0.0,0.0,0.0,0.0,0.0
117,382.0528543,396.6608949,0.0,0.0,0.0,396.6608949,0.0,472.9547589749938,0.0,382.0528543,0.0,0.0,0.0,0.0,0.0,0.0
118,400.6073867,396.6608949,0.0,0.0,0.0,396.6608949,495.92397462243133,0.0,400.6073867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,414.5446376,396.6608949,0.0,0.0,0.0,396.6608949,513.1773181480564,0.0,414.5446376,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,404.0916982,396.6608949,0.0,0.0,0.0,396.6608949,500.2373089873731,0.0,404.0916982,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,423.2554178,396.6608949,0.0,0.0,0.0,396.6608949,523.9606558554098,0.0,423.2554178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,444.1612943,396.6608949,0.0,0.0,0.0,396.6608949,549.840671329537,0.0,444.1612943,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,426.7397318,396.6608949,0.0,0.0,0.0,396.6608949,528.2739933151771,0.0,426.7397318,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,412.8024807,396.6608949,0.0,0.0,0.0,396.6608949,511.02064954196584,0.0,412.8024807,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,430.2240433,396.6608949,0.0,0.0,0.0,396.6608949,0.0,532.5873276801188,0.0,430.2240433,0.0,0.0,0.0,0.0,0.0,0.0
