c_G,c_el,opex_milp,opex_lp_lower,opex_lp_upper,opex_lp_approx
0.025,0.065,5949.7773172883635,5899.573024135116,6204.8912390475725,6145.403404087067
0.315,0.065,30720.493261205123,30720.4932612052,30720.4932612052,30300.303860397715
0.025,0.45,19626.783699696498,17406.404317405457,23218.359525169042,17947.505625541846
0.315,0.45,61398.06933599215,60557.17411720006,61568.5604604244,61563.79220661969
0.2500160559650216,0.3327252433117346,47751.442949862954,47147.09873394596,47754.005373844506,47812.2613548657
0.11549845909161963,0.2997443406967001,27415.46775478911,27239.176010117968,28641.83707809706,28367.661940686343
0.09680907996859714,0.4372210389899809,29536.82311440708,28390.010976838672,32225.761135802335,29659.364126744695
0.25359952033501265,0.1303017996680936,31863.67889658645,31863.678896586516,31863.678896586516,31525.39372041307
0.15469129499102505,0.2329690245462592,30630.9855036755,30188.28362269027,30780.96145492953,30748.20578293948
0.07433219179270568,0.22189375588142693,18708.475619379242,18396.81926918967,19714.112522880365,19299.438328954144
0.09897624388323464,0.2752093263946232,24134.40544333942,23890.832083469457,25355.21148479414,25079.890653292954
0.15210186603317252,0.38619200675144644,35903.454624630125,35579.66098046799,37341.246755991495,36990.32824486013
0.2811627973364553,0.08561117801408796,29944.20330788414,29944.20330788421,29944.20330788421,29569.150522671
0.02738587267835485,0.2503166825462661,12854.37406574344,11815.917273165325,14712.224280575962,12255.129026086064
0.2911347910916133,0.25944549803914513,46627.40350064136,46627.403500641434,46627.403500641434,46239.04872787001
0.1258674578238615,0.3534056538516662,30886.89837509428,30484.14611924479,32395.3572166617,31998.430752365326
0.05104241370811036,0.32148711126942087,18796.132384610108,17687.276060880504,21010.709456964618,18414.0993815196
0.13661608147318238,0.18734772829496185,26309.25721255769,25970.350137803547,26346.346893918097,26364.12457501286
0.14154285059891744,0.06515864518936972,17092.131557850873,17092.13155785091,17092.13155785091,16903.3226512422
0.1944684365443072,0.27930799294164815,37993.693481024035,37441.7256762695,38078.10164899521,38071.36058303475
0.07292894664096672,0.37005955522621375,23727.316902319064,22603.08208094741,26074.629809900456,23585.067682549605
0.10579890980728575,0.1431940268636249,20324.41321215308,20041.055377043667,20317.07089804951,20335.64295816232
0.2993381868730926,0.16632126518760987,38755.48612055748,38755.48612055755,38755.48612055755,38356.18855426865
0.20872581366805557,0.19385864968126024,34147.14669706511,34147.14669706516,34147.14669706516,33868.720111102506
0.2614146832045762,0.21110221934702625,39868.36381924625,39868.36381924631,39868.36381924631,39519.65372687168
0.1850445892359062,0.4393532086799502,42411.83735777,42141.66989346478,44081.732753256394,43691.00276331516
0.23709528050273207,0.23734211701890015,40558.36845966879,40187.52261482163,40355.47678343165,40039.20718391189
0.2194639325250528,0.10976157598467148,27300.21551793247,27300.21551793252,27300.21551793252,27007.464983625992
0.22732567726726402,0.40316028426687806,47097.27770164758,46644.87248890808,48003.02137467949,47800.543953955195
0.057369134532318136,0.1734010123424035,14529.654244796358,14262.655728752416,15310.011043176219,14960.648790116444
0.31071501395494033,0.30729645670541683,52843.097974281554,52417.80104552356,52543.88639082541,52129.41288118854
0.18730467107125484,0.15199592820913366,28633.55431799955,28633.554317999595,28633.554317999595,28383.70213544127
0.08697959348754122,0.12130813096730168,16849.082063668837,16610.73909130702,16866.384231968994,16872.55197161172
0.04164308670384213,0.0915248801669077,9260.938046183202,9207.917691103901,9595.562759894137,9516.35684713295
0.1657545098474991,0.3278828812001197,35660.379726562795,35284.04817585614,36546.118529740226,36312.38230478513
0.17540256801814527,0.09900069828128723,22850.48147572703,22850.481475727072,22850.481475727072,22616.505920312346
0.2896356902995497,0.42696947613619546,56763.27251042564,56176.557271070174,57212.30522548446,57174.40301154941
0.21078956872912466,0.3579947507201271,43238.210754234555,42657.4121827909,43789.85603427791,43642.31304200096
0.040421687067775366,0.4095201331730883,20430.5847316923,18637.406215919662,23485.22392147541,19311.028529780095
0.2732923927474957,0.3793510883552205,52829.995524356105,52123.772726334,52912.57393560571,52936.52881784455
