k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,din_TES,dout_TES,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
10,487.2668116,791.3176496,0.0,0.0,0.0,791.3176496,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,470.3088331143749,106.00000000000001,381.2668116,0.0,0.0,0.0,0.0,0.0,0.0
11,472.8077301,791.3176496,0.0,0.0,0.0,791.3176496,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,451.6249887385937,106.00000000000001,366.8077301,0.0,0.0,0.0,0.0,0.0,0.0
12,449.1472223,791.3176496,0.0,0.0,0.0,791.3176496,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,421.0511763157812,106.00000000000001,343.1472223,0.0,0.0,0.0,0.0,0.0,0.0
13,455.6758214,791.3176496,0.0,0.0,0.0,791.3176496,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,429.4873504653125,106.00000000000001,349.6758214,0.0,0.0,0.0,0.0,0.0,0.0
14,473.1244571,791.3176496,0.0,0.0,0.0,791.3176496,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,452.03425940890617,106.00000000000001,367.1244571,0.0,0.0,0.0,0.0,0.0,0.0
15,481.4872323,779.3760622,0.0,0.0,0.0,779.3760622,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,462.8405329876562,106.00000000000001,375.4872323,0.0,0.0,0.0,0.0,0.0,0.0
16,486.1668577,779.3760622,0.0,0.0,0.0,779.3760622,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,468.88748643421866,106.00000000000001,380.1668577,0.0,0.0,0.0,0.0,0.0,0.0
17,488.5970503,779.3760622,0.0,0.0,0.0,779.3760622,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,472.0277509345312,106.00000000000001,382.5970503,0.0,0.0,0.0,0.0,0.0,0.0
18,498.1615104,714.0545666,0.0,0.0,0.0,714.0545666,1.0,1.0,0.0,0.0,0.0,1.0,484.38682671999993,114.6125,392.1615104,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
19,371.1083804,585.2046364,0.0,0.0,0.0,585.2046364,1.0,1.0,0.0,0.0,0.0,1.0,320.21036029812495,114.6125,265.1083804,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
20,373.1786634,585.2046364,0.0,0.0,0.0,585.2046364,1.0,1.0,0.0,0.0,0.0,1.0,322.88555411218744,114.6125,267.1786634,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
21,375.2489441,585.2046364,0.0,0.0,0.0,585.2046364,1.0,1.0,0.0,0.0,0.0,1.0,325.5607449542187,114.6125,269.2489441,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
22,348.3426941,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,290.7928250323437,114.6125,242.34269410000002,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
