ratio,opex_milp,opex_lp_lower,opex_lp_upper,opex_lp_approx
0.05555555555555556,43656.85993412987,38680.89848312324,51596.354500375644,39883.34583453743
0.06230003010086918,44610.06427508412,39748.376481606625,52495.38958568415,41019.98240186931
0.06986328751024574,45558.999700151544,40945.446887482176,53503.56801746039,42294.60726432277
0.07834472846701176,46884.46025648162,42287.8422892225,54634.1398571011,43723.97227568975
0.08785582095130663,48338.08797287817,43793.20522006493,55901.96373063572,45326.862973889016
0.09852156521645357,49899.064805254355,45481.32002634081,57323.70210934423,47124.345471320936
0.11048213661425647,51643.82634843847,47374.37288474559,58918.04029754807,49140.04331784522
0.12389472786017737,53480.00792898122,49497.243385846385,60705.93200563722,51400.44797507419
0.1389356149505048,55595.70573248679,51877.83151598525,62710.8747357961,53935.26698241336
0.15580247388298601,58039.044970537216,54547.42433496288,64959.21859970561,56777.81439064811
0.17471697862859842,60799.42450809278,57541.107168591545,67480.5126268816,59965.44859437921
0.19592771449850283,63925.267220566166,60898.22472024693,70307.89311503332,63540.06331755336
0.21971344519532215,67431.19155467051,64662.89816161209,73478.51912636565,67548.63820490302
0.24638677648621637,71190.89821341938,68884.60499851796,77034.06085336849,72043.85625548553
0.2762982646478533,75581.87288781958,73618.82933281099,81021.2472724776,77084.7962129882
0.30984102367882527,80704.5178780452,78927.79106636402,85492.48028318655,82737.70901259186
0.3474558918301489,86229.75559020901,84881.26363084893,90506.52340397958,89076.88848890399
0.38963722535536727,92210.7057076199,91545.38405414589,96129.27407632387,95217.62977767826
0.4369393956250536,98744.0600652736,98102.96355783497,102434.62972678506,101556.45369129514
0.4899840749945356,106663.12261301707,105456.63676627105,109433.81713130696,108664.8142624991
0.5494684071799101,114638.4344499316,113703.0498865465,117190.32748837885,116636.1336584682
0.616174169522131,124039.81345236581,122950.58202765907,125888.48240539795,125575.17554809354
0.6909780475549229,135147.75768077988,133320.76958116022,135642.59804213955,135599.42196643207
0.7748631569108071,146662.25538000872,144949.90352238627,146580.86860211403,146840.61733125045
0.8689319639927607,158716.12703486063,155917.84557555808,158847.0511345956,158644.67547847284
0.9744207752224145,167998.3703224409,166793.29321974123,168100.75265265268,166800.93906003342
1.0927159852908372,177404.989126609,177404.9891266093,177404.9891266093,175947.3774595867
1.2253722979557615,187838.7649496848,187838.76494968508,187838.76494968508,186204.19843652914
1.374133158853473,199539.20681086488,199539.2068108652,199539.2068108652,197706.20303737844
1.5409536688651293,212660.08865347476,212660.08865347513,212660.08865347513,210604.55722873693
1.7280262791781624,227373.8526608765,227373.85266087693,227373.85266087693,225068.77860745642
1.9378096057420655,243873.87559092444,243873.8755909249,243873.8755909249,241288.96429849396
2.173060741814714,262377.01024465065,262377.01024465123,262377.01024465123,259478.28932077377
2.436871493269328,283126.4354706271,283126.43547062774,283126.43547062774,279875.8082560192
2.732709012887326,306394.85216140037,306394.85216140107,306394.85216140107,302749.5970416984
3.064461367676344,332488.06724562566,332488.0672456264,332488.0672456264,328400.27617933555
3.436488638085367,361749.01277878816,361749.01277878904,361749.01277878904,357164.96166222135
3.853680220692239,394562.2529537145,394562.2529537155,394562.2529537155,389421.6955478859
4.321519087468512,431359.03826460394,431359.038264605,431359.038264605,425594.4144044732
4.846153846153845,472622.97324930946,472622.9732493107,472622.9732493107,466158.5209291955
