ratio,opex_milp,opex_lp_lower,opex_lp_upper,opex_lp_approx
0.05555555555555555,43328.82353914132,38680.89848312324,51596.354500375644,39883.34583453743
0.12518877591124558,53433.7075485431,49702.05812926557,60878.42796394636,51618.53202667028
0.19603816661578338,63617.8669290409,60915.70646834913,70322.6163270515,63558.67765356973
0.26883489367880764,74143.56571804747,72437.56839833067,80026.38365326397,75827.00506825405
0.34438955364463364,85067.06153199033,84395.94064134762,90097.78205672148,88560.12293718515
0.4236307258492324,96434.60589875447,96257.96025997952,100660.59069870957,99772.99822292165
0.5076547565422768,108245.53584924398,107906.35310006778,111738.0007609464,111032.81002519064
0.5977928314285732,121007.64230094847,120402.34618043536,123491.63210782368,123111.94680388534
0.6957046504613191,134812.54914617902,133976.02649990935,136258.92746957563,136232.82004018678
0.8035136046642752,149831.07981050643,148921.7633311118,150316.76823433957,150679.97908400075
0.9240081976491787,163557.8974397214,161595.97094816435,164135.66782181495,162903.10131098505
1.060952427388885,174906.69985688257,174906.69985688286,174906.69985688286,173491.45869894704
1.2195821079487859,187383.35093061434,187383.35093061463,187383.35093061463,185756.5081522828
1.4074328649810346,202158.31827061786,202158.3182706182,202158.3182706182,200280.89486676696
1.6357921735314085,220119.3921514026,220119.392151403,220119.392151403,217937.352363334
1.922404417101915,242662.21606598707,242662.21606598754,242662.21606598754,240097.85428779162
2.2969039561572577,272117.6121783337,272117.61217833427,272117.61217833427,269053.6925051594
2.8128362345563556,312697.0736797406,312697.07367974124,312697.07367974124,308944.93408619263
3.577949901377203,372875.3216530915,372875.3216530924,372875.3216530924,368102.57046204834
4.846153846153846,472622.9732493095,472622.97324931074,472622.97324931074,466158.52092919557
