ratio,opex_milp,opex_lp_lower,opex_lp_upper,opex_lp_approx,time_milp,time_lp_lower,time_lp_upper,time_lp_approx
0.05555555555555555,43496.383671604344,38680.89848312324,51596.354500375644,39883.34583453743,6.497456999961287,0.5676082000136375,0.5593115999363363,0.2223327000392601
0.08937133460794819,48573.7849223338,44033.072310376665,56103.980943456496,45582.27030456485,10.843605699948967,0.4397994000464678,0.7196291000582278,0.22198260005097836
0.12339111078958127,53396.456364319114,49417.533671040575,60638.80010188636,51315.574116551026,7.495479300036095,0.5352606000378728,0.83898539992515,0.26727489999029785
0.15769456171637417,58364.19272975981,54846.89349594346,65211.43296203622,57096.68522418504,7.619704299955629,0.49692189996130764,0.6817332999780774,0.25958909990731627
0.19236399786550376,63225.86782907199,60334.17943058102,69832.85146936652,62939.47529346627,4.4493340000044554,0.3520951000973582,0.8525649000657722,0.3225239000748843
0.22748517473049143,68480.30074524773,65892.96437851572,74514.48678829425,68858.39657402973,4.961340199923143,0.5454680999973789,0.8735975000308827,0.2420425999443978
0.2631481749423249,73689.07058263547,71537.50611861213,79268.3468884975,74868.6305617465,4.295090600033291,0.5129118000622839,0.7133858999004588,0.28439459996297956
0.2994483803250109,79178.6951564546,77282.90115659485,84107.14611943475,80986.2518178439,2.2538905000546947,0.43860850005876273,0.6833754999097437,0.22208199999295175
0.33648755713053724,84645.2679691219,83145.25649001496,89044.44987162272,87228.41086198844,3.7646886999718845,0.3918804998975247,0.732061899965629,0.2284854999743402
0.37437508195969604,90185.96636512906,89141.88364019414,94094.83799126933,93172.3950880655,3.7513660999247804,0.5701100999722257,0.7425359999760985,0.24201019993051887
0.4132293413731582,95693.05508810548,94815.99881801149,99274.09134773022,98379.13945754667,1.5510433999588713,0.3922947000246495,0.722407600027509,0.21919390000402927
0.45317934527005743,101388.0182346282,100354.33511913661,104599.40689606755,103732.72130393903,2.395838800002821,1.0387789000524208,0.8339265000540763,0.2214261000044644
0.4943666032148951,107127.4895546576,106064.19403200154,110005.28064585805,109252.10390538297,1.1175225999904796,0.4580582999624312,0.7983058999525383,0.2684753999346867
0.5369473246438122,113066.21448186232,111967.2311337369,115557.63022499974,114958.22042633366,1.2631173999980092,0.4272156999213621,0.729906199965626,0.24188630003482103
