gas_price_MWh,electricity_price_MWh,opex_milp,opex_lp_lower,opex_lp_upper,opex_lp_approx,time_milp,time_lp_lower,time_lp_upper,time_lp_approx
25.0,65.0,5938.113937709275,5899.573024135116,6204.8912390475725,6145.403404087067,3.307251700083725,0.5740867999847978,1.066679700044915,0.27406240010168403
315.0,65.0,30720.493261205123,30720.4932612052,30720.4932612052,30300.303860397715,0.6541960000758991,0.5460976000176743,0.7323200999526307,0.2690664000110701
25.0,450.0,19633.701143828086,17406.404317405457,23218.359525169042,17947.505625541846,7.009504199959338,0.3262818999355659,0.571558800060302,0.21184060000814497
315.0,450.0,61398.06933599215,60557.17411720006,61568.5604604244,61563.79220661969,0.7542278999462724,0.35016589995939285,0.6045217999489978,0.1789445000467822
250.01605596502162,332.7252433117346,47783.37360753394,47147.09873394597,47754.00537384451,47812.26135486571,0.7108327000169083,0.3417730999644846,0.579706099932082,0.21583839994855225
115.49845909161962,299.7443406967001,27441.049726510348,27239.176010117968,28641.83707809706,28367.661940686343,2.530963100027293,0.343611300108023,0.6194789999863133,0.1904960999963805
96.80907996859717,437.22103898998085,29581.236484595687,28390.010976838676,32225.761135802342,29659.364126744702,3.6364433999406174,0.336922200047411,0.5475756999803707,0.1712741000810638
253.59952033501264,130.3017996680936,31863.67889658645,31863.678896586516,31863.678896586516,31525.39372041307,0.4583609999390319,0.30323499999940395,0.5333622000180185,0.1798068000935018
154.69129499102505,232.96902454625916,30452.097110012135,30188.28362269027,30780.96145492953,30748.205782939476,0.829812099924311,0.3133472000481561,0.5230418000137433,0.1797295999713242
74.33219179270569,221.89375588142696,18731.925732674084,18396.819269189673,19714.112522880365,19299.438328954144,1.4401530999457464,0.3272917999420315,0.5703240999719128,0.29117420001421124
98.97624388323464,275.2093263946232,24176.183462958375,23890.832083469457,25355.21148479414,25079.890653292954,4.039139100001194,1.50057489995379,1.034288699971512,0.3001103000715375
152.1018660331725,386.19200675144646,35903.454624630125,35579.66098046799,37341.246755991495,36990.32824486013,2.1141827000537887,0.5925594000145793,0.7849358000094071,0.24835869995877147
281.16279733645536,85.61117801408797,29944.203307884145,29944.203307884214,29944.203307884214,29569.150522671003,0.6485760998912156,0.557404899969697,0.709089900017716,0.24781219998840243
