price_ratio,opex_milp,opex_lp_lower,opex_lp_upper_bo,opex_lp_upper_chp,opex_lp_approx_mean,sum_dB,sum_dCHP
0.0555555555555555,43648.0331943324,38680.89848312322,95829.5314719342,51596.35450037564,39883.345834537424,1.0,148.99999970083408
0.0893713346079481,48534.099618312146,44033.07231037665,98489.2334554088,56103.98094345648,45582.27030456484,0.0,150.0
0.1233911107895812,53432.44596337578,49417.53367104057,101164.98036182969,60638.80010188634,51315.57411655101,1.0,149.0
0.1576945617163741,58359.39857336496,54846.893495943455,103863.03905001358,65211.43296203621,57096.68522418503,0.0,150.0
0.1923639978655037,63370.74092784088,60334.179430581,106589.88346039726,69832.85146936652,62939.475293466254,0.0,150.0
0.2274851747304914,68480.30074524773,65892.96437851571,109352.25849321972,74514.48678829425,68858.39657402973,0.0,150.0
0.2631481749423249,73689.07058263547,71537.50611861213,112157.24938972126,79268.3468884975,74868.6305617465,1.0,150.0
0.2994483803250109,79178.6951564546,77282.90115659485,115012.35818692742,84107.14611943475,80986.2518178439,3.0,150.0
0.3364875571305372,84479.61802283289,83145.25649001496,117925.58907429787,89044.44987162271,87228.41086198842,3.0,149.0
0.374375081959696,89816.82127629072,89141.88364019414,120905.54481569685,94094.83799126932,93172.3950880655,1.0,151.0
0.4132293413731582,95693.05508810548,94815.99881801149,123961.53683256893,99274.09134773022,98379.13945754667,0.0,155.0
0.4531793452700574,101134.95845796593,100354.33511913661,127103.71210050449,104599.40689606755,103732.72130393903,1.0,152.0
0.4943666032148951,107127.4895546576,106064.19403200154,130343.20072739787,110005.28064585805,109252.10390538297,0.0,156.0
0.5369473246438122,113066.21448186232,111967.2311337369,133692.28900558903,115557.63022499974,114958.22042633366,0.0,156.0
0.5810950191156552,119331.86341480931,118087.5003466109,137164.6239286043,121314.30659390567,120874.32236951467,0.0,158.0
0.6270035926384541,125548.53352579294,124451.88318698212,140775.4567255627,127300.5942922912,127026.39450547012,0.0,155.0
0.6748910621810882,132261.63530833623,131090.6037143055,144541.93501751003,133544.9218292276,133443.65264328502,0.0,155.0
0.7250040449789279,139867.70062934782,138037.85089113185,148483.4559133834,140079.44706998975,140159.1452291546,0.0,166.0
0.7776232252656621,147016.42169080686,145332.53644534494,152622.0959831745,146940.77007522705,147210.4859269454,39.0,166.0
0.8330700630282494,154786.29206815702,152220.63615766686,156983.1389195523,154170.80789480158,154640.7526386012,262.0,95.0
0.8917150936456031,160821.62254379463,158266.68931378832,161595.7283267707,161815.3015525544,160406.23870489787,336.0,30.0
0.9539882831007782,166210.71552546183,164686.79021038156,166493.68218596178,169895.56001044426,165221.12420166502,336.0,44.0
1.0203920645407452,172780.74602163356,171532.73756733816,171716.51821562875,178482.77454107557,170355.38192931737,336.0,45.0
1.091517908817082,177310.75718924438,177310.75718924467,177310.75718924467,187562.50275309492,175854.74367789074,336.0,0.0
1.168067605518584,183331.5967457105,183331.5967457108,183331.5967457108,197150.01655316952,181773.470944868,336.0,0.0
1.250880900288078,189845.0851386655,189845.0851386658,189845.0851386658,207518.5226018938,188176.49181811477,336.0,0.0
1.340971825225607,196930.97872042088,196930.9787204212,196930.9787204212,218681.4877557751,195142.20999743306,336.0,0.0
1.4395770947581872,204686.5484072974,204686.54840729776,204686.54840729776,230793.67574667415,202766.24670297198,336.0,0.0
1.5482215215945574,213231.7248204284,213231.7248204288,213231.7248204288,244088.17190263423,211166.49855542538,336.0,0.0
1.6688078768808596,222716.16602871864,222716.16602871908,222716.16602871908,258838.86938286113,220490.08545141947,336.0,0.0
1.803742564974572,233329.1422078666,233329.14220786703,233329.14220786703,275344.21849076694,230923.06758060475,336.0,0.0
1.9561149574743133,245313.64074419878,245313.64074419925,245313.64074419925,293982.56544324546,242704.31130962246,336.0,0.0
2.12995917040455,258986.955714401,258986.95571440153,258986.95571440153,315240.6480818051,256145.7294681898,336.0,0.0
2.330646178228069,274771.52870734606,274771.52870734665,274771.52870734665,339774.2625511519,271662.5991164771,336.0,0.0
2.565488832869584,293242.5351977402,293242.5351977409,293242.5351977409,368483.3414916258,289820.3408629416,336.0,0.0
2.844708082703033,315203.8802685044,315203.8802685051,315203.8802685051,402617.3768839821,311409.2257137648,336.0,0.0
3.183039777919102,341814.5781750733,341814.5781750741,341814.5781750741,443977.0366662108,337568.61126386706,336.0,0.0
3.6025391046873474,374809.32863588864,374809.3286358895,374809.3286358895,495238.9623474463,370003.77705562254,336.0,0.0
4.137771808287654,416906.82049555,416906.82049555104,416906.82049555104,560642.3864264074,411387.30348982883,336.0,0.0
4.846153846153846,472622.9732493095,472622.97324931074,472622.97324931074,647204.0081674424,466158.52092919557,336.0,0.0
