ratio,c_G,c_el,opex_milp,opex_lp_lower,opex_lp_upper,opex_lp_approx,actual_c_electricity
0.38461538461538464,0.025,1,90883.01287414753,90762.66190977104,95743.20219646799,94544.66775518566,0.065
4.846153846153846,0.315,1,472622.9732493095,472622.9732493095,490393.5165185402,466158.52092919557,0.065
0.05555555555555556,0.025,1,43345.03177256549,38680.89848312322,52117.43052001415,39883.34583453744,0.45
0.7,0.315,1,135404.4192451005,134571.4980382224,136827.9560181908,136808.42712582153,0.45
0.7514189590081035,0.2500160559650216,1,142631.60886759375,141699.7948958542,143485.42820786484,143698.92972042933,0.3327252433117346
0.3853232352049246,0.11549845909161963,1,91005.49146401351,90874.6965724376,95837.0469185313,94639.52471880196,0.2997443406967001
0.22141907944831438,0.09680907996859714,1,67292.57251586829,64932.85648472476,74107.12231397032,67836.0862854643,0.4372210389899809
1.9462472581421328,0.25359952033501265,1,244537.5196486159,244537.5196486159,251674.28670376944,241941.3530796578,0.1303017996680936
0.6639994106182514,0.15469129499102505,1,130329.1644059259,129580.6757206728,132166.77797716722,131984.09463586865,0.2329690245462592
0.3349900113116589,0.07433219179270568,1,83716.34969999248,82908.233249341,89164.01806666193,86976.03162509522,0.22189375588142693
0.35963986097372447,0.09897624388323464,1,87297.4837816231,86809.67464457348,92432.02168864358,91130.23523530905,0.2752093263946232
0.3938503733223703,0.15210186603317252,1,92162.61504270497,92129.45985018044,96967.54948284652,95782.22127385237,0.38619200675144644
3.284183255721441,0.2811627973364553,1,349769.78476988827,349769.78476988827,361812.6795071653,345388.8990734968,0.08561117801408796
0.1094049042188513,0.02738587267835485,1,51150.58544898236,47203.87451995487,59256.616717316785,48958.49889597729,0.2503166825462661
1.1221423894111544,0.2911347910916133,1,179719.45496470405,179719.45496470405,183834.28097277542,178222.59039890324,0.25944549803914513
0.3561557560046604,0.1258674578238615,1,86782.78918422968,86258.229847222,91970.1094330168,90543.06405011825,0.3534056538516662
0.15876970465958892,0.05104241370811036,1,58242.79308162024,55017.06115383816,65801.25487334575,57277.87751368903,0.32148711126942087
0.7292113051837643,0.13661608147318238,1,139527.9237641252,138621.1104567845,140610.09116126795,140722.9477237373,0.18734772829496185
2.1722804424117985,0.14154285059891744,1,262315.6375976854,262315.6375976854,270281.2542124818,259417.95754218486,0.06515864518936972
0.6962508823903751,0.1944684365443072,1,134858.9737052531,134051.75155188516,136342.53883543608,136306.01896519467,0.27930799294164815
0.19707354022080573,0.07292894664096672,1,63769.51997744544,61079.57965611879,70879.46326268475,63733.167673868855,0.37005955522621375
0.7388500213632968,0.10579890980728575,1,140877.88368874922,139957.34190875414,141858.0644020192,142014.6035667366,0.1431940268636249
1.7997589576741138,0.2993381868730926,1,233015.82077818736,233015.82077818736,239615.42439104346,230615.06002255928,0.16632126518760987
1.0766907435455664,0.20872581366805557,1,176144.5607570742,176144.5607570742,180092.7184204843,174708.3257145812,0.19385864968126024
1.2383322355073987,0.2614146832045762,1,188858.098899034,188858.098899034,193398.9858108749,187206.24467669002,0.21110221934702625
0.4211750035737264,0.1850445892359062,1,96015.66366925219,95917.51934640626,100590.16754563185,99443.91414503624,0.4393532086799502
0.9989599969897107,0.23709528050273207,1,170022.94138873153,169323.1825838195,173693.9523266207,168698.28114292695,0.23734211701890015
1.9994604719934193,0.2194639325250528,1,248722.88205614884,248722.88205614884,256054.7786406692,246055.732539752,0.10976157598467148
0.56385930395064,0.22732567726726402,1,116173.65069404995,115698.08413477258,119201.1328518829,118564.61516510119,0.40316028426687806
0.3308465951688627,0.057369134532318136,1,83125.84473090008,82252.43633865815,88614.69630009256,86277.74767874276,0.1734010123424035
1.0111246230632611,0.31071501395494033,1,171030.2153269659,170577.30377858726,174695.33981243407,169638.83488953236,0.30729645670541683
1.2323005838257675,0.18730467107125484,1,188383.69326974457,188383.69326974457,192902.46249184717,186739.8848763085,0.15199592820913366
0.7170137137055254,0.08697959348754122,1,137782.1976396082,136930.13781396407,139030.80741819213,139088.38457134977,0.12130813096730168
0.454991982812766,0.04164308670384213,1,100806.988274534,100605.62411348752,105073.52189272683,103975.62749908678,0.0915248801669077
0.5055296246049902,0.1657545098474991,1,107944.8423527834,107611.74248167264,111648.89481425428,110748.027380613,0.3278828812001197
1.771730614664758,0.17540256801814527,1,230811.31620711152,230811.31620711152,237308.14163792375,228447.9434281651,0.09900069828128723
0.6783522159957899,0.2896356902995497,1,132325.00711704936,131570.42929492902,134025.10814347235,133907.47162757796,0.42696947613619546
0.5888063115593435,0.21078956872912466,1,119717.38147423479,119156.52980101822,122431.14786141185,121907.68985917233,0.3579947507201271
0.09870500567231132,0.040421687067775366,1,49561.92221869732,45510.35396357998,57838.05604922715,47155.26042676411,0.4095201331730883
0.7204207425169886,0.2732923927474957,1,138264.2947299265,137402.4599542623,139471.93263735808,139544.95042406552,0.3793510883552205
