ratio,opex_milp,opex_lp_lower,opex_lp_upper,opex_lp_approx
0.05555555555555555,43496.383671604344,38680.89848312324,51596.354500375644,39883.34583453743
0.08937133460794819,48573.7849223338,44033.072310376665,56103.980943456496,45582.27030456485
0.12339111078958127,53396.456364319114,49417.533671040575,60638.80010188636,51315.574116551026
0.15769456171637417,58364.19272975981,54846.89349594346,65211.43296203622,57096.68522418504
0.19236399786550376,63225.86782907199,60334.17943058102,69832.85146936652,62939.47529346627
0.22748517473049143,68480.30074524773,65892.96437851572,74514.48678829425,68858.39657402973
0.2631481749423249,73689.07058263547,71537.50611861213,79268.3468884975,74868.6305617465
0.2994483803250109,79178.6951564546,77282.90115659485,84107.14611943475,80986.2518178439
0.33648755713053724,84645.2679691219,83145.25649001496,89044.44987162272,87228.41086198844
0.37437508195969604,90185.96636512906,89141.88364019414,94094.83799126933,93172.3950880655
0.4132293413731582,95693.05508810548,94815.99881801149,99274.09134773022,98379.13945754667
0.45317934527005743,101388.0182346282,100354.33511913661,104599.40689606755,103732.72130393903
0.4943666032148951,107127.4895546576,106064.19403200154,110005.28064585805,109252.10390538297
0.5369473246438122,113066.21448186232,111967.2311337369,115557.63022499974,114958.22042633366
0.5810950191156552,119331.86341480931,118087.5003466109,121314.30659390567,120874.32236951467
0.6270035926384541,125548.53352579294,124451.88318698212,127300.5942922912,127026.39450547012
0.6748910621810882,132261.63530833623,131090.6037143055,133544.9218292276,133443.65264328502
0.7250040449789279,139867.70062934782,138037.85089113185,140079.44706998975,140159.1452291546
0.7776232252656621,147016.42169080686,145332.53644534494,146940.77007522705,147210.4859269454
0.8330700630282494,154786.29206815702,152220.63615766686,154170.80789480158,154640.7526386012
0.8917150936456031,160821.62254379463,158266.68931378832,161595.7283267707,160406.23870489787
0.9539882831007782,166210.71552546183,164686.79021038156,166493.68218596178,165221.12420166502
1.0203920645407452,172780.74602163356,171532.73756733816,171716.51821562875,170355.38192931737
1.091517908817082,177310.75718924438,177310.75718924467,177310.75718924467,175854.74367789074
1.168067605518584,183331.5967457105,183331.5967457108,183331.5967457108,181773.470944868
1.2508809002880779,189845.08513866548,189845.0851386658,189845.0851386658,188176.49181811477
1.3409718252256073,196930.9787204209,196930.97872042123,196930.97872042123,195142.20999743306
1.4395770947581872,204686.5484072974,204686.54840729776,204686.54840729776,202766.24670297198
1.5482215215945574,213231.7248204284,213231.7248204288,213231.7248204288,211166.49855542538
1.6688078768808596,222716.16602871864,222716.16602871908,222716.16602871908,220490.08545141947
1.803742564974572,233329.1422078666,233329.14220786703,233329.14220786703,230923.06758060475
1.9561149574743133,245313.64074419878,245313.64074419925,245313.64074419925,242704.31130962246
2.12995917040455,258986.955714401,258986.95571440153,258986.95571440153,256145.7294681898
2.330646178228069,274771.52870734606,274771.52870734665,274771.52870734665,271662.5991164771
2.5654888328695837,293242.5351977402,293242.5351977408,293242.5351977408,289820.3408629416
2.8447080827030335,315203.88026850444,315203.88026850513,315203.88026850513,311409.22571376484
3.183039777919102,341814.5781750733,341814.5781750741,341814.5781750741,337568.61126386706
3.6025391046873474,374809.32863588864,374809.3286358895,374809.3286358895,370003.77705562254
4.137771808287654,416906.82049555,416906.82049555104,416906.82049555104,411387.30348982883
4.846153846153846,472622.9732493095,472622.97324931074,472622.97324931074,466158.52092919557
