ratio,opex_milp,opex_lp_lower,opex_lp_upper,opex_lp_approx
0.0555555555555555,43574.7550324948,38680.89848312322,51596.35450037564,39883.345834537424
0.0623000301008691,44587.60685275348,39748.37648160661,52495.38958568414,41019.982401869296
0.0698632875102457,45691.33333041724,40945.446887482176,53503.568017460384,42294.60726432276
0.0783447284670117,46879.37752583371,42287.842289222484,54634.139857101094,43723.97227568974
0.0878558209513066,48296.73876593654,43793.20522006492,55901.96373063571,45326.862973889016
0.0985215652164535,49771.06579250007,45481.32002634079,57323.70210934422,47124.34547132092
0.1104821366142564,51487.66833907001,47374.372884745586,58918.04029754806,49140.04331784521
0.1238947278601773,53385.160283836056,49497.24338584638,60705.932005637216,51400.44797507418
0.1389356149505047,55562.06830639376,51877.831515985235,62710.87473579608,53935.26698241334
0.155802473882986,58042.0006596093,54547.42433496288,64959.21859970561,56777.81439064811
0.1747169786285984,60816.89721541405,57541.10716859154,67480.5126268816,59965.44859437921
0.1959277144985028,63836.622379498534,60898.22472024693,70307.89311503332,63540.063317553344
0.2197134451953221,67401.22541678854,64662.89816161208,73478.51912636563,67548.638204903
0.2463867764862163,71308.89564780414,68884.60499851793,77034.06085336847,72043.85625548552
0.2762982646478532,75563.18771578948,73618.82933281097,81021.24727247757,77084.79621298819
0.3098410236788252,80659.96195015383,78927.791066364,85492.48028318654,82737.70901259185
0.3474558918301489,86244.89087944584,84881.26363084893,90506.52340397958,89076.88848890399
0.3896372253553672,91802.53195755123,91545.38405414588,96129.27407632387,95217.62977767824
0.4369393956250535,98871.74337466585,98102.96355783497,102434.62972678506,101556.45369129514
0.4899840749945356,106663.12261301707,105456.63676627105,109433.81713130696,108664.8142624991
0.54946840717991,114719.69237306798,113703.04988654649,117190.32748837883,116636.13365846817
0.6161741695221309,124006.82234859122,122950.58202765904,125888.48240539795,125575.17554809351
0.6909780475549228,135335.20157408365,133320.76958116022,135642.59804213955,135599.42196643207
0.774863156910807,146642.88055793996,144949.90352238627,146580.86860211403,146840.61733125045
0.8689319639927607,158716.12703486063,155917.84557555808,158847.0511345956,158644.67547847284
0.9744207752224144,167998.37032244087,166793.2932197412,168100.75265265268,166800.93906003342
1.0927159852908372,177404.989126609,177404.9891266093,177404.9891266093,175947.3774595867
1.2253722979557615,187838.7649496848,187838.76494968508,187838.76494968508,186204.19843652914
1.374133158853473,199539.20681086488,199539.2068108652,199539.2068108652,197706.20303737844
1.5409536688651293,212660.08865347476,212660.08865347513,212660.08865347513,210604.55722873693
1.7280262791781624,227373.8526608765,227373.85266087693,227373.85266087693,225068.77860745642
1.9378096057420653,243873.8755909244,243873.87559092487,243873.87559092487,241288.96429849396
2.173060741814714,262377.01024465065,262377.01024465123,262377.01024465123,259478.28932077377
2.436871493269328,283126.4354706271,283126.43547062774,283126.43547062774,279875.8082560192
2.732709012887326,306394.85216140037,306394.85216140107,306394.85216140107,302749.5970416984
3.064461367676344,332488.06724562566,332488.0672456264,332488.0672456264,328400.27617933555
3.436488638085367,361749.01277878816,361749.01277878904,361749.01277878904,357164.96166222135
3.8536802206922394,394562.2529537146,394562.2529537155,394562.2529537155,389421.6955478859
4.321519087468512,431359.03826460394,431359.038264605,431359.038264605,425594.4144044732
4.846153846153845,472622.97324930946,472622.9732493107,472622.9732493107,466158.5209291955
