ratio,opex_milp,opex_lp_lower,opex_lp_upper_bo,opex_lp_upper_chp,opex_lp_approx
0.0555555555555555,43493.31136184362,38680.898483123216,96033.25022193418,52117.430520014146,39883.345834537424
0.0623000301008691,44622.643034785455,39748.3764816066,96588.45285350119,53011.592859526,41019.9824018693
0.0698632875102457,45682.61816379352,40945.44688748216,97211.0573853579,54014.306991525744,42294.60726432276
0.0783447284670117,46979.74986867327,42287.84228922248,97909.2464447189,55138.75116243645,43723.97227568974
0.0878558209513066,48292.06690551797,43793.20522006492,98692.19603417607,56399.70346493717,45326.86297388902
0.0985215652164535,49783.96193843409,45481.32002634079,99570.19612800768,57813.73606016515,47124.34547132093
0.1104821366142564,51655.929378637025,47374.37288474558,100554.78590894463,59399.4329785988,49140.04331784522
0.1238947278601773,53465.79981782677,49497.24338584637,101658.90542275348,61177.63436208569,51400.44797507419
0.1389356149505047,55755.2212302049,51877.831515985235,102897.06564376794,63171.71035698521,53935.26698241335
0.155802473882986,58089.60455864158,54547.42433496288,104285.53918646816,65407.86825808714,56777.81439064812
0.1747169786285984,60830.20149443768,57541.107168591545,105842.57416954885,67915.49693996814,59965.44859437922
0.1959277144985028,63942.05888278984,60898.22472024694,107588.63404320147,70727.55310250196,63540.06331755336
0.2197134451953221,67430.45983820257,64662.8981616121,109546.66653155806,73880.99440678341,67548.63820490302
0.2463867764862163,71298.75033687553,68884.60499851796,111742.4052248938,77417.26519398847,72043.85625548553
0.2762982646478532,75732.18870910301,73618.82933281099,114204.70778528604,81382.84117076705,77084.7962129882
0.3098410236788252,80642.24931258857,78927.79106636404,116965.93521062397,85829.84021973767,82737.70901259186
0.3474558918301489,86132.56225221435,84881.26363084896,120062.37714147415,90816.70736270699,89076.88848890402
0.3896372253553672,92368.57434986913,91545.38405414589,123534.72880043021,96408.9828787954,95217.62977767824
0.4369393956250535,98905.97804599488,98102.96355783498,127428.625832158,102680.16367251932,101556.45369129514
0.4899840749945356,106448.57607944644,105456.63676627108,131795.24407331186,109636.13403104804,108664.8142624991
0.54946840717991,114802.70251574673,113703.04988654652,136691.97213484388,117337.87080061293,116636.13365846817
0.6161741695221309,124588.94728658997,122950.58202765908,142183.1656361698,125974.6025869245,125575.17554809351
0.6909780475549228,135024.9114435922,133320.76958116025,148340.9930037712,135659.83829161068,135599.42196643207
0.774863156910807,146390.2972893552,144949.90352238633,155246.38395020663,146520.86685845797,146840.61733125045
0.8689319639927607,158547.7395983094,155917.84557555756,162990.0930989882,158700.4301779958,158644.67547847284
0.9744207752224144,167993.03694375575,166793.29321974062,171673.89273409458,172341.7652471442,166800.93906003342
1.0927159852908372,177404.989126609,177404.989126609,181411.91034992144,187492.66455886752,175947.3774595867
1.2253722979557615,187838.7649496848,187838.7649496848,192332.1285805199,204080.5909403601,186204.19843652914
1.374133158853473,199539.20681086488,199539.20681086488,204578.06722105813,222484.52254271353,197706.20303737844
1.5409536688651293,212660.08865347476,212660.08865347476,218310.66944759886,242846.24339658915,210604.55722873693
1.7280262791781624,227373.8526608765,227373.8526608765,233710.41702498036,265628.4237218418,225068.77860745642
1.9378096057420653,243873.8755909244,243873.8755909244,250979.70230208017,291175.65841790254,241288.96429849396
2.173060741814714,262377.01024465065,262377.01024465065,270345.48816858884,319824.3412479564,259478.28932077377
2.436871493269328,283126.4354706271,283126.4354706271,292062.29093197733,351950.9896958833,279875.8082560192
2.732709012887326,306394.85216140037,306394.85216140037,316415.5253173449,387977.83067210956,302749.5970416984
3.064461367676344,332488.06724562566,332488.06724562566,343725.2555520593,428378.3496627555,328400.27617933555
3.436488638085367,361749.01277878816,361749.01277878816,374350.4018341073,473683.5135484994,357164.96166222135
3.8536802206922394,394562.2529537146,394562.2529537146,408693.45746797917,524488.748877019,389421.6955478859
4.321519087468512,431359.03826460394,431359.03826460394,447205.7786634079,581461.7673014922,425594.4144044732
4.846153846153845,472622.97324930946,472622.97324930946,490393.51651854016,645351.3410315695,466158.5209291955
