k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,din_TES,dout_TES,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
55,421.0031304,587.1223702,0.0,0.0,0.0,587.1223702,1,1,0,0,0,1,384.6837325637499,114.6125,315.0031304,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
56,549.5079332,781.293796,0.0,0.0,0.0,781.293796,1,1,0,0,0,1,550.736032431875,114.6125,443.5079332,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
57,524.1485906,781.293796,0.0,0.0,0.0,781.293796,1,1,0,0,0,1,517.9670069159374,114.6125,418.14859060000003,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
58,508.9603391,791.3176496,0.0,0.0,0.0,791.3176496,1,1,0,0,0,1,498.34093818078117,114.6125,402.9603391,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
59,495.7810111,791.3176496,0.0,0.0,0.0,791.3176496,1,1,0,0,0,1,481.3107752807812,114.6125,389.7810111,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
60,476.4819936,791.3176496,0.0,0.0,0.0,791.3176496,1,1,0,0,0,1,456.37282610499994,114.6125,370.4819936,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
61,482.171696,791.3176496,0.0,0.0,0.0,791.3176496,1,1,0,0,0,1,463.72498842499994,114.6125,376.171696,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
62,495.1631036,791.3176496,0.0,0.0,0.0,791.3176496,1,1,0,0,0,1,480.51232293312495,114.6125,389.1631036,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
63,515.3563626,779.3760622,0.0,0.0,0.0,779.3760622,1,1,0,0,0,1,114.6125,506.60579979718744,106.00000000000001,409.3563626,0.0,0.0,0.0,0.0,0.0,0.0
64,518.6132248,779.3760622,0.0,0.0,0.0,779.3760622,1,1,0,0,0,1,510.81427642124993,114.6125,412.6132248,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
65,518.6132248,779.3760622,0.0,0.0,0.0,779.3760622,1,1,0,0,0,1,510.81427642124993,114.6125,412.6132248,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
66,526.7424659,714.0545666,0.0,0.0,0.0,714.0545666,1,1,0,0,0,1,521.3187801551561,114.6125,420.74246589999996,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
67,391.8111945,585.2046364,0.0,0.0,0.0,585.2046364,1,1,0,0,0,1,114.6125,346.9622778929687,106.00000000000001,285.8111945,0.0,0.0,0.0,0.0,0.0,0.0
68,389.7409138,585.2046364,0.0,0.0,0.0,585.2046364,1,1,0,0,0,1,114.6125,344.28708705093743,106.00000000000001,283.7409138,0.0,0.0,0.0,0.0,0.0,0.0
69,389.7409138,585.2046364,0.0,0.0,0.0,585.2046364,1,1,0,0,0,1,114.6125,344.28708705093743,106.00000000000001,283.7409138,0.0,0.0,0.0,0.0,0.0,0.0
70,357.0534765,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,114.6125,302.0487891648437,106.00000000000001,251.0534765,0.0,0.0,0.0,0.0,0.0,0.0
71,357.0534765,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,114.6125,302.0487891648437,106.00000000000001,251.0534765,0.0,0.0,0.0,0.0,0.0,0.0
72,360.5377905,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,114.6125,306.55117616171873,106.00000000000001,254.53779050000003,0.0,0.0,0.0,0.0,0.0,0.0
73,357.0534765,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,302.0487891648437,114.6125,251.0534765,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
74,364.022102,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,114.6125,311.05355992812497,106.00000000000001,258.022102,0.0,0.0,0.0,0.0,0.0,0.0
75,353.569165,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,114.6125,297.54640539843746,106.00000000000001,247.569165,0.0,0.0,0.0,0.0,0.0,0.0
76,358.7956335,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,114.6125,304.29998266328124,106.00000000000001,252.7956335,0.0,0.0,0.0,0.0,0.0,0.0
77,365.764259,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,313.30475342656246,114.6125,259.764259,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
78,381.4436671,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,333.5654885807812,114.6125,275.4436671,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
79,410.6426673,587.1223702,0.0,0.0,0.0,587.1223702,1,1,0,0,0,1,371.29607165171876,114.6125,304.6426673,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
80,541.2815198,781.293796,0.0,0.0,0.0,781.293796,1,1,0,0,0,1,540.1059638665623,114.6125,435.28151979999996,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
81,510.2371802,781.293796,0.0,0.0,0.0,781.293796,1,1,0,0,0,1,499.99085628968743,114.6125,404.2371802,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
82,470.167779,791.3176496,0.0,0.0,0.0,791.3176496,1,1,0,0,0,1,448.2136769265624,114.6125,364.167779,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
83,453.1732935,791.3176496,0.0,0.0,0.0,791.3176496,1,1,0,0,0,1,426.25361519453116,114.6125,347.1732935,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
84,456.6195372,791.3176496,0.0,0.0,0.0,791.3176496,1,1,0,0,0,1,430.70680822562497,114.6125,350.6195372,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
85,462.0876488,791.3176496,0.0,0.0,0.0,791.3176496,1,1,0,0,0,1,437.77263368375,114.6125,356.0876488,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
86,460.9349327,791.3176496,0.0,0.0,0.0,791.3176496,1,1,0,0,0,1,436.2831083482812,114.6125,354.9349327,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
87,488.5970503,779.3760622,0.0,0.0,0.0,779.3760622,1,1,0,0,0,1,472.0277509345312,114.6125,382.5970503,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
88,503.6051387,779.3760622,0.0,0.0,0.0,779.3760622,1,1,0,0,0,1,114.6125,491.4210151639062,106.00000000000001,397.6051387,0.0,0.0,0.0,0.0,0.0,0.0
89,516.1118787,779.3760622,0.0,0.0,0.0,779.3760622,1,1,0,0,0,1,114.6125,507.5820682576562,106.00000000000001,410.11187870000003,0.0,0.0,0.0,0.0,0.0,0.0
90,536.2694503,714.0545666,0.0,0.0,0.0,714.0545666,1,1,0,0,0,1,114.6125,533.6294303095312,106.00000000000001,430.2694503,0.0,0.0,0.0,0.0,0.0,0.0
91,404.2328834,585.2046364,0.0,0.0,0.0,585.2046364,1,1,0,0,0,1,363.0134290184374,114.6125,298.2328834,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
