gas_price_MWh,electricity_price_MWh,opex_milp,opex_lp_lower,opex_lp_upper,opex_lp_approx
25.0,65.0,5938.113937709275,5899.573024135116,6204.8912390475725,6145.403404087067
315.0,65.0,30720.493261205123,30720.4932612052,30720.4932612052,30300.303860397715
25.0,450.0,19633.701143828086,17406.404317405457,23218.359525169042,17947.505625541846
315.0,450.0,61398.06933599215,60557.17411720006,61568.5604604244,61563.79220661969
250.01605596502162,332.7252433117346,47783.37360753394,47147.09873394597,47754.00537384451,47812.26135486571
115.49845909161962,299.7443406967001,27441.049726510348,27239.176010117968,28641.83707809706,28367.661940686343
96.80907996859717,437.22103898998085,29581.236484595687,28390.010976838676,32225.761135802342,29659.364126744702
253.59952033501264,130.3017996680936,31863.67889658645,31863.678896586516,31863.678896586516,31525.39372041307
154.69129499102505,232.96902454625916,30452.097110012135,30188.28362269027,30780.96145492953,30748.205782939476
74.33219179270569,221.89375588142696,18731.925732674084,18396.819269189673,19714.112522880365,19299.438328954144
98.97624388323464,275.2093263946232,24176.183462958375,23890.832083469457,25355.21148479414,25079.890653292954
152.1018660331725,386.19200675144646,35903.454624630125,35579.66098046799,37341.246755991495,36990.32824486013
281.16279733645536,85.61117801408797,29944.203307884145,29944.203307884214,29944.203307884214,29569.150522671003
27.385872678354854,250.31668254626615,12875.2849948567,11815.917273165327,14712.224280575963,12255.129026086066
291.13479109161335,259.44549803914515,46627.40350064136,46627.403500641434,46627.403500641434,46239.04872787002
125.86745782386149,353.4056538516662,30894.706915936033,30484.14611924479,32395.3572166617,31998.430752365326
51.04241370811036,321.4871112694209,18863.109929789705,17687.276060880504,21010.709456964618,18414.0993815196
136.61608147318242,187.34772829496185,26332.555328362396,25970.35013780355,26346.3468939181,26364.124575012862
141.54285059891745,65.15864518936972,17092.131557850873,17092.13155785091,17092.13155785091,16903.3226512422
194.4684365443072,279.30799294164814,37993.693481024035,37441.7256762695,38078.10164899521,38071.36058303475
72.92894664096673,370.0595552262138,23736.62980149025,22603.082080947413,26074.629809900456,23585.06768254961
105.79890980728577,143.19402686362488,20306.86339871166,20041.05537704367,20317.07089804951,20335.64295816232
299.3381868730926,166.32126518760987,38755.48612055748,38755.48612055755,38755.48612055755,38356.18855426865
208.72581366805554,193.85864968126023,34147.14669706511,34147.14669706515,34147.14669706515,33868.720111102506
261.41468320457625,211.10221934702622,39868.363819246246,39868.36381924631,39868.36381924631,39519.65372687168
185.04458923590622,439.3532086799502,42415.71146471407,42141.66989346479,44081.7327532564,43691.00276331516
237.09528050273207,237.34211701890018,40558.368459668796,40187.52261482164,40355.47678343166,40039.20718391189
219.4639325250528,109.7615759846715,27300.21551793247,27300.215517932524,27300.215517932524,27007.464983625996
227.325677267264,403.16028426687814,47147.89686928125,46644.87248890808,48003.0213746795,47800.5439539552
57.369134532318135,173.40101234240348,14529.654244796358,14262.655728752416,15310.011043176219,14960.648790116444
310.71501395494033,307.29645670541686,52843.097974281554,52417.80104552356,52543.88639082541,52129.41288118854
187.30467107125486,151.99592820913367,28633.55431799955,28633.5543179996,28633.5543179996,28383.702135441272
86.97959348754122,121.3081309673017,16842.119139330836,16610.73909130702,16866.384231968994,16872.55197161172
41.64308670384213,91.5248801669077,9267.512949235406,9207.917691103903,9595.56275989414,9516.356847132953
165.7545098474991,327.88288120011975,35593.612011102625,35284.04817585614,36546.11852974023,36312.38230478513
175.40256801814527,99.00069828128726,22850.481475727032,22850.481475727076,22850.481475727076,22616.50592031235
289.6356902995497,426.96947613619545,56763.27251042564,56176.557271070174,57212.30522548446,57174.40301154941
210.78956872912462,357.9947507201271,43040.03229398341,42657.4121827909,43789.85603427791,43642.31304200096
40.421687067775366,409.52013317308825,20456.09124798917,18637.406215919662,23485.22392147541,19311.028529780095
273.2923927474958,379.3510883552205,52842.359375594475,52123.772726334006,52912.57393560572,52936.528817844555
