training_sample_size,model,y_test,y_pred,r2_score_total,mse_total
40,opex_lp_approx,39883.345834537424,60031.90144228407,0.9832873053952116,225127729.32299393
40,opex_lp_approx,41019.9824018693,60638.08605767389,0.9832873053952116,225127729.32299393
40,opex_lp_approx,42294.60726432276,61317.86181381235,0.9832873053952116,225127729.32299393
40,opex_lp_approx,43723.97227568974,62080.16271505915,0.9832873053952116,225127729.32299393
40,opex_lp_approx,45326.86297388902,62935.00735874388,0.9832873053952116,225127729.32299393
40,opex_lp_approx,47124.34547132093,63893.63060534013,0.9832873053952116,225127729.32299393
40,opex_lp_approx,49140.04331784522,64968.63123347024,0.9832873053952116,225127729.32299393
40,opex_lp_approx,51400.44797507419,66174.1375203075,0.9832873053952116,225127729.32299393
40,opex_lp_approx,53935.26698241335,67525.99292352897,0.9832873053952116,225127729.32299393
40,opex_lp_approx,56777.81439064812,69041.96430515795,0.9832873053952116,225127729.32299393
40,opex_lp_approx,59965.44859437922,70741.97543389368,0.9832873053952116,225127729.32299393
40,opex_lp_approx,63540.06331755336,72648.36883475057,0.9832873053952116,225127729.32299393
40,opex_lp_approx,67548.63820490302,74786.19942738525,0.9832873053952116,225127729.32299393
40,opex_lp_approx,72043.85625548553,77183.56381227582,0.9832873053952116,225127729.32299393
40,opex_lp_approx,77084.7962129882,79871.96953242166,0.9832873053952116,225127729.32299393
40,opex_lp_approx,82737.70901259186,82886.7491636135,0.9832873053952116,225127729.32299393
40,opex_lp_approx,89076.88848890402,86267.52467548678,0.9832873053952116,225127729.32299393
40,opex_lp_approx,95217.62977767824,90058.72816625854,0.9832873053952116,225127729.32299393
40,opex_lp_approx,101556.45369129514,94310.18581494338,0.9832873053952116,225127729.32299393
40,opex_lp_approx,108664.8142624991,99077.7727256848,0.9832873053952116,225127729.32299393
40,opex_lp_approx,116636.13365846816,104424.14727054343,0.9832873053952116,225127729.32299393
40,opex_lp_approx,125575.17554809352,110419.57458189728,0.9832873053952116,225127729.32299393
40,opex_lp_approx,135599.42196643207,117142.85001726577,0.9832873053952116,225127729.32299393
40,opex_lp_approx,146840.61733125045,124682.33473326382,0.9832873053952116,225127729.32299393
40,opex_lp_approx,158644.67547847284,133137.11697879486,0.9832873053952116,225127729.32299393
40,opex_lp_approx,166800.93906003342,142618.3143698666,0.9832873053952116,225127729.32299393
40,opex_lp_approx,175947.3774595867,153250.5342612756,0.9832873053952116,225127729.32299393
40,opex_lp_approx,186204.19843652917,165173.51140820468,0.9832873053952116,225127729.32299393
40,opex_lp_approx,197706.20303737844,178543.94444082648,0.9832873053952116,225127729.32299393
40,opex_lp_approx,210604.55722873693,193537.55528791845,0.9832873053952116,225127729.32299393
40,opex_lp_approx,225068.7786074564,210351.39861562027,0.9832873053952116,225127729.32299393
40,opex_lp_approx,241288.964298494,229206.45163330852,0.9832873053952116,225127729.32299393
40,opex_lp_approx,259478.28932077377,250350.5183033068,0.9832873053952116,225127729.32299393
40,opex_lp_approx,279875.8082560192,274061.4861232289,0.9832873053952116,225127729.32299393
40,opex_lp_approx,302749.5970416984,300650.9782834631,0.9832873053952116,225127729.32299393
40,opex_lp_approx,328400.27617933555,330468.4491985524,0.9832873053952116,225127729.32299393
40,opex_lp_approx,357164.9616622213,363905.777238306,0.9832873053952116,225127729.32299393
40,opex_lp_approx,389421.6955478859,401402.4150189529,0.9832873053952116,225127729.32299393
40,opex_lp_approx,425594.4144044732,443451.16494243534,0.9832873053952116,225127729.32299393
40,opex_lp_approx,466158.5209291955,490604.65588929947,0.9832873053952116,225127729.32299393
