training_sample_size,model,y_test,y_pred,r2_score_total,mse_total
5,opex_lp_upper,51596.35450037564,64657.25861300928,0.9941117142099964,142040259.64310974
5,opex_lp_upper,66822.85312378094,74545.14533295581,0.9941117142099964,142040259.64310974
5,opex_lp_upper,113201.01162723333,104763.50652248337,0.9941117142099964,142040259.64310974
5,opex_lp_upper,216182.0194648408,197113.8113797059,0.9941117142099964,142040259.64310974
5,opex_lp_upper,472622.9732493107,479345.490117387,0.9941117142099964,142040259.64310974
